Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Gordon,29,DEN,PF,7,7,212,37,70,.529,12,22,.545,25,48,.521,.614,22,26,.846,19,28,47,22,5,2,9,13,108,0,,aaron-gordon,162,23.1,0.76,30.3,17.7
Aaron Holiday,28,HOU,PG,10,0,90,13,29,.448,8,21,.381,5,8,.625,.586,5,7,.714,0,9,9,14,1,1,3,5,39,0,,aaron-holiday,56,5.6,0.62,9.0,3.5
Aaron Nesmith,25,IND,SF,6,6,136,19,36,.528,6,11,.545,13,25,.520,.611,11,13,.846,4,20,24,6,4,2,5,24,55,0,,aaron-nesmith,62,10.3,0.46,22.7,4.7
Aaron Wiggins,26,OKC,SG,17,8,362,62,138,.449,27,63,.429,35,75,.467,.547,10,13,.769,21,43,64,29,14,5,15,26,161,0,,aaron-wiggins,232,13.6,0.64,21.3,8.7
Adam Flagler,25,OKC,SG,9,0,30,4,15,.267,4,14,.286,0,1,.000,.400,0,0,,1,4,5,0,2,0,0,4,12,0,,adam-flagler,15,1.7,0.5,3.3,0.8
Adama Sanogo,22,CHI,C,3,0,14,3,5,.600,0,0,,3,5,.600,.600,0,0,,2,0,2,1,0,0,1,1,6,0,,adama-sanogo,7,2.3,0.5,4.7,1.2
Adem Bona,21,PHI,PF,11,0,43,5,6,.833,0,0,,5,6,.833,.833,1,1,1.000,5,10,15,0,0,3,2,7,11,0,,adem-bona,20,1.8,0.47,3.9,0.8
A.J. Green,25,MIL,SG,16,2,308,42,85,.494,38,79,.481,4,6,.667,.718,3,4,.750,4,30,34,13,10,1,8,23,125,0,,aj-green,152,9.5,0.49,19.2,4.7
AJ Johnson,20,MIL,SG,4,0,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,1,1,1,0,0,1,0,2,0,,aj-johnson,3,0.8,0.38,2.0,0.3
Ajay Mitchell,22,OKC,SG,17,0,277,41,78,.526,10,20,.500,31,58,.534,.590,9,11,.818,6,22,28,31,15,1,14,28,101,0,,ajay-mitchell,134,7.9,0.48,16.3,3.8
Al Horford,38,BOS,C,14,14,390,51,103,.495,33,74,.446,18,29,.621,.655,6,6,1.000,14,62,76,33,12,13,14,21,141,0,,al-horford,240,17.1,0.62,27.9,10.5
Alec Burks,33,MIA,SG,7,0,141,18,37,.486,14,28,.500,4,9,.444,.676,3,4,.750,3,13,16,15,4,2,1,3,53,0,,alec-burks,86,12.3,0.61,20.1,7.5
Alex Caruso,30,OKC,SG,13,0,256,26,73,.356,8,39,.205,18,34,.529,.411,5,7,.714,9,29,38,28,24,9,9,34,65,0,,alex-caruso,121,9.3,0.47,19.7,4.4
Alex Ducas,24,OKC,SG,4,0,7,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,0,,alex-ducas,0,0.0,0.0,1.8,0.0
