Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Shaedon Sharpe,19,POR,SG,80,15,1779,306,648,.472,102,283,.360,204,365,.559,.551,75,105,.714,63,173,236,94,38,24,83,136,789,0,,shaedon-sharpe,962,12.0,0.54,22.2,6.5
Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,704,1381,.510,58,168,.345,646,1213,.533,.531,669,739,.905,59,270,329,371,112,65,192,192,2135,0,"MVP-5,CPOY-7,AS,NBA1",shai-gilgeous-alexander,2628,38.6,1.09,35.5,42.0
Shake Milton,26,PHI,SG,76,11,1567,241,503,.479,56,148,.378,185,355,.521,.535,99,116,.853,39,152,191,240,25,13,94,123,637,0,,shake-milton,889,11.7,0.57,20.6,6.6
Shaquille Harrison,29,POR,SG,5,0,120,15,36,.417,3,10,.300,12,26,.462,.458,11,15,.733,1,21,22,30,11,2,6,12,44,0,,shaquille-harrison,91,18.2,0.76,24.0,13.8
Simone Fontecchio,27,UTA,SF,52,6,766,115,312,.369,63,191,.330,52,121,.430,.470,35,44,.795,31,55,86,42,15,8,39,62,328,0,,simone-fontecchio,378,7.3,0.49,14.7,3.6
Skylar Mays,25,POR,PG,6,6,189,34,68,.500,12,26,.462,22,42,.524,.588,12,13,.923,2,17,19,50,6,1,10,11,92,0,,skylar-mays,147,24.5,0.78,31.5,19.1
Spencer Dinwiddie,29,2TM,SG,79,79,2725,460,1050,.438,181,490,.369,279,560,.498,.524,268,330,.812,28,242,270,515,67,24,145,187,1369,0,,spencer-dinwiddie,1913,24.2,0.7,34.5,17.0
Stanley Johnson,26,SAS,SF,30,0,469,65,122,.533,18,40,.450,47,82,.573,.607,26,39,.667,22,73,95,67,16,6,33,48,174,0,,stanley-johnson,277,9.2,0.59,15.6,5.5
Stanley Umude,23,DET,SG,1,0,2,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,0,0,0,1,1,0,0,2,0,,stanley-umude,4,4.0,2.0,2.0,8.0
Stephen Curry,34,GSW,PG,56,56,1941,559,1133,.493,273,639,.427,286,494,.579,.614,257,281,.915,39,302,341,352,52,20,179,117,1648,1,"MVP-9,CPOY-9,AS,NBA2",stephen-curry,2117,37.8,1.09,34.7,41.2
Sterling Brown,27,LAL,SF,4,0,24,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,3,5,8,2,3,0,0,4,0,0,,sterling-brown,9,2.2,0.38,6.0,0.8
Steven Adams,29,MEM,C,42,42,1133,157,263,.597,0,1,.000,157,262,.599,.597,47,129,.364,214,271,485,97,36,46,79,98,361,0,,steven-adams,848,20.2,0.75,27.0,15.1
Svi Mykhailiuk,25,2TM,SF,32,8,468,77,173,.445,42,99,.424,35,74,.473,.566,26,39,.667,15,38,53,53,15,4,24,23,222,0,,svi-mykhailiuk,300,9.4,0.64,14.6,6.0
Taj Gibson,37,WAS,C,49,2,480,65,125,.520,8,24,.333,57,101,.564,.552,30,42,.714,32,61,93,34,15,12,26,84,168,0,,taj-gibson,212,4.3,0.44,9.8,1.9
