Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Thomas Bryant,25,2TM,C,59,26,1081,230,369,.623,26,59,.441,204,310,.658,.659,93,126,.738,86,253,339,31,16,30,38,102,579,0,,thomas-bryant,855,14.5,0.79,18.3,11.5
Tim Hardaway Jr.,30,DAL,SF,71,45,2152,340,847,.401,212,550,.385,128,297,.431,.527,127,165,.770,21,230,251,129,49,12,60,120,1019,0,,tim-hardaway,1280,18.0,0.59,30.3,10.7
T.J. McConnell,30,IND,PG,75,6,1526,283,521,.543,26,59,.441,257,462,.556,.568,58,68,.853,45,189,234,397,81,10,143,105,650,1,,tj-mcconnell,1124,15.0,0.74,20.3,11.0
T.J. Warren,29,2TM,PF,42,0,687,132,270,.489,22,67,.328,110,203,.542,.530,28,35,.800,26,95,121,40,22,12,20,65,314,0,,tj-warren,424,10.1,0.62,16.4,6.2
Tobias Harris,30,PHI,SF,74,74,2436,423,845,.501,126,324,.389,297,521,.570,.575,113,129,.876,67,357,424,186,68,40,89,149,1085,0,,tobias-harris,1565,21.1,0.64,32.9,13.6
Tony Bradley,25,CHI,C,12,0,33,6,12,.500,3,5,.600,3,7,.429,.625,4,4,1.000,1,10,11,1,1,1,1,2,19,0,,tony-bradley,30,2.5,0.91,2.8,2.3
Torrey Craig,32,PHO,PF,79,60,1948,228,500,.456,100,253,.395,128,247,.518,.556,32,45,.711,145,281,426,117,50,62,73,179,588,0,,torrey-craig,991,12.5,0.51,24.7,6.4
Trae Young,24,ATL,PG,73,73,2541,597,1390,.429,154,460,.335,443,930,.476,.485,566,639,.886,56,161,217,741,80,9,300,104,1914,0,,trae-young,2557,35.0,1.01,34.8,35.2
Tre Jones,23,SAS,PG,68,65,1984,341,743,.459,45,158,.285,296,585,.506,.489,148,172,.860,56,189,245,448,89,9,110,98,875,2,,tre-jones,1458,21.4,0.73,29.2,15.8
Tre Mann,21,OKC,PG,67,5,1183,197,501,.393,81,257,.315,116,244,.475,.474,42,55,.764,27,128,155,120,40,11,62,99,517,1,,tre-mann,682,10.2,0.58,17.7,5.9
Trendon Watford,22,POR,PF,62,12,1182,181,323,.560,25,64,.391,156,259,.602,.599,72,100,.720,42,196,238,130,32,12,71,118,459,0,,trendon-watford,682,11.0,0.58,19.1,6.3
Trent Forrest,24,ATL,SG,23,3,277,25,60,.417,0,2,.000,25,58,.431,.417,2,3,.667,5,32,37,38,7,2,15,17,52,0,,trent-forrest,104,4.5,0.38,12.0,1.7
Trevelin Queen,25,IND,SG,7,0,70,7,29,.241,2,15,.133,5,14,.357,.276,5,5,1.000,8,9,17,6,2,5,7,4,21,0,,trevelin-queen,40,5.7,0.57,10.0,3.3
Trevor Hudgins,23,HOU,PG,5,0,28,2,9,.222,2,8,.250,0,1,.000,.333,3,3,1.000,0,0,0,3,0,0,1,1,9,0,,trevor-hudgins,10,2.0,0.36,5.6,0.7
Trevor Keels,19,NYK,SG,3,0,8,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,2,2,0,0,0,0,0,3,0,,trevor-keels,5,1.7,0.62,2.7,1.0
Trey Lyles,27,SAC,PF,74,0,1247,187,408,.458,87,240,.363,100,168,.595,.565,101,124,.815,68,232,300,66,27,31,64,97,562,0,,trey-lyles,825,11.1,0.66,16.9,7.4
Trey Murphy III,22,NOP,SF,79,65,2448,387,800,.484,202,497,.406,185,303,.611,.610,172,190,.905,59,222,281,112,89,43,61,155,1148,0,,trey-murphy,1457,18.4,0.6,31.0,11.0
Troy Brown Jr.,23,LAL,SF,76,45,1860,200,465,.430,107,281,.381,93,184,.505,.545,34,39,.872,62,246,308,95,59,16,49,120,541,0,,troy-brown,850,11.2,0.46,24.5,5.1
Ty Jerome,25,GSW,SG,45,2,816,118,242,.488,35,90,.389,83,152,.546,.560,38,41,.927,7,71,78,135,23,5,30,64,309,0,,ty-jerome,456,10.1,0.56,18.1,5.7
Tyler Dorsey,26,DAL,SF,3,0,8,4,5,.800,1,2,.500,3,3,1.000,.900,0,0,,1,1,2,0,0,0,0,0,9,0,,tyler-dorsey,11,3.7,1.38,2.7,5.0
Tyler Herro,23,MIA,SG,67,67,2337,487,1109,.439,203,537,.378,284,572,.497,.531,170,182,.934,27,333,360,280,51,16,158,101,1347,1,,tyler-herro,1795,26.8,0.77,34.9,20.6
Tyrese Haliburton,22,IND,PG,56,56,1883,412,841,.490,161,402,.400,251,439,.572,.586,175,201,.871,33,172,205,585,91,25,141,69,1160,0,AS,tyrese-haliburton,1856,33.1,0.99,33.6,32.7
Tyrese Martin,23,ATL,SG,16,0,66,9,23,.391,1,7,.143,8,16,.500,.413,2,2,1.000,5,7,12,2,1,0,2,2,21,0,,tyrese-martin,32,2.0,0.48,4.1,1.0
Tyrese Maxey,22,PHI,SG,60,41,2016,439,913,.481,160,369,.434,279,544,.513,.568,180,213,.845,23,153,176,212,49,8,80,132,1218,0,,tyrese-maxey,1451,24.2,0.72,33.6,17.4
TyTy Washington Jr.,21,HOU,PG,31,2,433,58,160,.363,19,80,.238,39,80,.488,.422,10,18,.556,2,43,45,47,15,2,14,29,145,0,,tyty-washington,211,6.8,0.49,14.0,3.3
Tyus Jones,26,MEM,PG,80,22,1940,311,710,.438,121,326,.371,190,384,.495,.523,80,100,.800,28,172,200,417,83,6,74,32,823,1,6MOY-6,tyus-jones,1423,17.8,0.73,24.2,13.0
Udoka Azubuike,23,UTA,C,36,4,359,59,72,.819,0,0,,59,72,.819,.819,7,20,.350,31,88,119,11,6,15,18,34,125,0,,udoka-azubuike,224,6.2,0.62,10.0,3.9
Udonis Haslem,42,MIA,C,7,1,71,10,29,.345,3,9,.333,7,20,.350,.397,4,5,.800,4,7,11,0,1,2,1,11,27,0,,udonis-haslem,29,4.1,0.41,10.1,1.7
Usman Garuba,20,HOU,C,75,1,970,86,177,.486,24,59,.407,62,118,.525,.554,29,47,.617,120,187,307,64,44,29,47,135,225,0,,usman-garuba,487,6.5,0.5,12.9,3.3
Vernon Carey Jr.,21,WAS,C,11,0,28,2,8,.250,0,0,,2,8,.250,.250,2,2,1.000,3,8,11,3,2,2,2,5,6,0,,vernon-carey,17,1.5,0.61,2.5,0.9
Victor Oladipo,30,MIA,SG,42,2,1106,160,403,.397,70,212,.330,90,191,.471,.484,59,79,.747,16,112,128,146,57,12,87,99,449,0,,victor-oladipo,606,14.4,0.55,26.3,7.9
Vince Williams Jr.,22,MEM,SG,15,1,105,12,40,.300,4,28,.143,8,12,.667,.350,2,2,1.000,4,11,15,4,6,2,5,12,30,0,,vince-williams,40,2.7,0.38,7.0,1.0
Vit Krejci,22,ATL,PG,29,0,165,15,37,.405,5,21,.238,10,16,.625,.473,1,2,.500,6,20,26,17,5,1,5,17,36,0,,vit-krejci,63,2.2,0.38,5.7,0.8
Vlatko Čančar,25,DEN,PF,60,9,889,108,227,.476,43,115,.374,65,112,.580,.570,38,41,.927,24,104,128,80,22,14,37,84,297,0,,vlatko-cancar,420,7.0,0.47,14.8,3.3
Walker Kessler,21,UTA,C,74,40,1703,298,414,.720,1,3,.333,297,411,.723,.721,82,159,.516,231,389,620,69,26,173,58,169,679,0,ROY-3,walker-kessler,1340,18.1,0.79,23.0,14.2
Wendell Carter Jr.,23,ORL,C,57,54,1690,322,613,.525,80,225,.356,242,388,.624,.591,144,195,.738,120,377,497,132,30,33,106,159,868,0,,wendell-carter,1295,22.7,0.77,29.6,17.4
Wendell Moore Jr.,21,MIN,SG,29,2,153,18,43,.419,2,17,.118,16,26,.615,.442,4,5,.800,4,14,18,18,8,5,8,13,42,0,,wendell-moore,70,2.4,0.46,5.3,1.1
Wenyen Gabriel,25,LAL,C,68,2,1024,155,260,.596,10,36,.278,145,224,.647,.615,52,84,.619,116,170,286,36,26,35,46,144,372,0,,wenyen-gabriel,565,8.3,0.55,15.1,4.6
Wesley Matthews,36,MIL,SF,52,0,820,58,160,.363,39,124,.315,19,36,.528,.484,24,28,.857,34,79,113,34,20,13,18,71,179,0,,wesley-matthews,270,5.2,0.33,15.8,1.7
Will Barton,32,2TM,SG,56,2,993,138,364,.379,66,180,.367,72,184,.391,.470,37,47,.787,15,122,137,112,28,13,48,56,379,0,,will-barton,565,10.1,0.57,17.7,5.7
Willy Hernangómez,28,NOP,C,38,2,458,89,169,.527,3,11,.273,86,158,.544,.536,81,104,.779,58,122,180,33,17,13,39,64,262,0,,willy-hernangomez,402,10.6,0.88,12.1,9.3
Xavier Cooks,27,WAS,PF,10,1,126,17,28,.607,0,1,.000,17,27,.630,.607,4,10,.400,16,22,38,6,6,4,8,13,38,0,,xavier-cooks,71,7.1,0.56,12.6,4.0
Xavier Moon,28,LAC,SG,4,0,20,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,0,3,3,5,0,0,1,2,7,0,,xavier-moon,12,3.0,0.6,5.0,1.8
Xavier Sneed,25,CHO,SF,4,0,48,5,10,.500,3,6,.500,2,4,.500,.650,4,4,1.000,0,5,5,5,0,1,3,7,17,0,,xavier-sneed,18,4.5,0.38,12.0,1.7
Xavier Tillman Sr.,24,MEM,C,61,29,1180,188,306,.614,4,15,.267,184,291,.632,.621,49,89,.551,121,186,307,96,58,29,44,97,429,0,,xavier-tillman,778,12.8,0.66,19.3,8.4
Yuta Watanabe,28,BRK,SF,58,1,928,114,232,.491,60,135,.444,54,97,.557,.621,34,47,.723,30,111,141,48,25,17,22,80,322,0,,yuta-watanabe,451,7.8,0.49,16.0,3.8
Zach Collins,25,SAS,C,63,26,1441,284,548,.518,55,147,.374,229,401,.571,.568,108,142,.761,116,286,402,180,37,49,129,199,731,0,,zach-collins,1071,17.0,0.74,22.9,12.6
Zach LaVine,27,CHI,SG,77,77,2768,673,1388,.485,204,544,.375,469,844,.556,.558,363,428,.848,42,303,345,327,69,18,194,159,1913,0,,zach-lavine,2319,30.1,0.84,35.9,25.2
Zeke Nnaji,22,DEN,PF,53,5,728,110,196,.561,17,65,.262,93,131,.710,.605,40,62,.645,65,73,138,18,17,23,31,105,277,0,,zeke-nnaji,337,6.4,0.46,13.7,2.9
Ziaire Williams,21,MEM,SF,37,4,561,84,196,.429,25,97,.258,59,99,.596,.492,17,22,.773,16,63,79,35,14,6,37,58,210,0,,ziaire-williams,249,6.7,0.44,15.2,3.0
Zion Williamson,22,NOP,PF,29,29,956,285,469,.608,7,19,.368,278,450,.618,.615,177,248,.714,58,144,202,133,32,16,99,65,754,0,AS,zion-williamson,973,33.6,1.02,33.0,34.1
