Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Kelly Oubre Jr.,https://www.spotrac.com/nba/player/_/id/17843,kelly-oubre,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,29,SF,$7983000,$8382150,UFA,,
Kenrich Williams,https://www.spotrac.com/nba/player/_/id/27758,kenrich-williams,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,30,PF,$6669000,$7163000,$7163000,UFA,
Kentavious Caldwell-Pope,https://www.spotrac.com/nba/player/_/id/13321,kentavious-caldwell-pope,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,31,SG,$22757000,$21621500,$21621500,UFA,
Kenyon Martin Jr.,https://www.spotrac.com/nba/player/_/id/70694,kenyon-martin,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,24,SF,$7975000,$8025000,UFA,,
Keon Ellis,https://www.spotrac.com/nba/player/_/id/78267,keon-ellis,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,25,SF,$2120693,$2301587,UFA,,
Keon Johnson,https://www.spotrac.com/nba/player/_/id/74128,keon-johnson,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,22,SG,$2162606,$2349578,UFA,,
Keshad Johnson,https://www.spotrac.com/nba/player/_/id/91786,keshad-johnson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,23,PF,Two-Way,RFA,,,
Kessler Edwards,https://www.spotrac.com/nba/player/_/id/74151,kessler-edwards,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,24,SF,Two-Way,RFA,,,
Kevin Durant,https://www.spotrac.com/nba/player/_/id/2717,kevin-durant,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,36,SF,$51179021,$54708609,UFA,,
Kevin Huerter,https://www.spotrac.com/nba/player/_/id/26985,kevin-huerter,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,26,SG,$16830357,$17991071,UFA,,
Kevin Love,https://www.spotrac.com/nba/player/_/id/6132,kevin-love,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,36,C,$3850000,$4150000,UFA,,
Kevin McCullar Jr.,https://www.spotrac.com/nba/player/_/id/91763,kevin-mccullar,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,23,SG,Two-Way,RFA,,,
Kevin Porter Jr.,https://www.spotrac.com/nba/player/_/id/31589,kevin-porter,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,24,PG,$2237691,$2546675,UFA,,
Kevon Looney,https://www.spotrac.com/nba/player/_/id/17858,kevon-looney,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,28,C,$8000000,UFA,,,
Keyonte George,https://www.spotrac.com/nba/player/_/id/82209,keyonte-george,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,21,SG,$4084200,$4278960,$6563925,RFA,
Khris Middleton,https://www.spotrac.com/nba/player/_/id/10864,khris-middleton,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,33,SF,$31666667,$34012345,UFA,,
K.J. Simpson,https://www.spotrac.com/nba/player/_/id/91788,kj-simpson,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,22,PG,Two-Way,Two-Way,RFA,,
Klay Thompson,https://www.spotrac.com/nba/player/_/id/8062,klay-thompson,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,34,SG,$15873016,$16666667,$17460317,UFA,
Kobe Brown,https://www.spotrac.com/nba/player/_/id/84464,kobe-brown,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,25,PF,$2533920,$2654880,$4792059,RFA,
Kobe Bufkin,https://www.spotrac.com/nba/player/_/id/82271,kobe-bufkin,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,21,PG,$4299000,$4503720,$6904203,RFA,
Kris Dunn,https://www.spotrac.com/nba/player/_/id/20210,kris-dunn,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,30,PG,$5168000,$5426400,$5684800,UFA,
Kris Murray,https://www.spotrac.com/nba/player/_/id/82275,kris-murray,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,24,PF,$2990040,$3132000,$5315004,RFA,
Kristaps Porzingis,https://www.spotrac.com/nba/player/_/id/17832,kristaps-porzingis,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,29,PF,$29268293,$30731707,UFA,,
Kyle Anderson,https://www.spotrac.com/nba/player/_/id/15382,kyle-anderson,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,31,PF,$8780488,$9219512,$9658536,UFA,
