Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Anfernee Simons,,CHI,,55,,1372,,,,,,,,,,,,,,,,135,134,27,8,68,94,785,,,https://www.nba.com/player/anfernee-simons,https://www.nba.com/team/CHI,anfernee-simons,927,16.9,0.68,24.9,11.4
Anthony Black,,ORL,,60,,1841,,,,,,,,,,,,,,,,232,229,86,41,125,159,917,,,https://www.nba.com/player/anthony-black,https://www.nba.com/team/ORL,anthony-black,1221,20.4,0.66,30.7,13.5
Anthony Davis,,WAS,,20,,626,,,,,,,,,,,,,,,,221,56,22,33,41,42,407,,,https://www.nba.com/player/anthony-davis,https://www.nba.com/team/WAS,anthony-davis,656,32.8,1.05,31.3,34.4
Anthony Edwards,,MIN,,59,,2083,,,,,,,,,,,,,,,,298,220,81,48,168,111,1727,,,https://www.nba.com/player/anthony-edwards,https://www.nba.com/team/MIN,anthony-edwards,2095,35.5,1.01,35.3,35.7
Anthony Gill,,WAS,,48,,734,,,,,,,,,,,,,,,,129,53,27,18,34,72,231,,,https://www.nba.com/player/anthony-gill,https://www.nba.com/team/WAS,anthony-gill,352,7.3,0.48,15.3,3.5
Antonio Reeves,,CHA,,9,,66,,,,,,,,,,,,,,,,8,2,1,0,1,3,27,,,https://www.nba.com/player/antonio-reeves,https://www.nba.com/team/CHA,antonio-reeves,34,3.8,0.52,7.3,1.9
Ariel Hukporti,,NYK,,49,,434,,,,,,,,,,,,,,,,135,24,8,23,28,58,88,,,https://www.nba.com/player/ariel-hukporti,https://www.nba.com/team/NYK,ariel-hukporti,192,3.9,0.44,8.9,1.7
Asa Newell,,ATL,,40,,445,,,,,,,,,,,,,,,,81,20,15,13,21,62,201,,,https://www.nba.com/player/asa-newell,https://www.nba.com/team/ATL,asa-newell,247,6.2,0.56,11.1,3.4
Ausar Thompson,,DET,,66,,1712,,,,,,,,,,,,,,,,380,192,133,58,97,183,658,,,https://www.nba.com/player/ausar-thompson,https://www.nba.com/team/DET,ausar-thompson,1141,17.3,0.67,25.9,11.5
Austin Reaves,,LAL,,49,,1698,,,,,,,,,,,,,,,,230,275,54,19,142,106,1153,,,https://www.nba.com/player/austin-reaves,https://www.nba.com/team/LAL,austin-reaves,1483,30.3,0.87,34.7,26.4
Ayo Dosunmu,,MIN,,64,,1719,,,,,,,,,,,,,,,,218,235,52,16,84,120,933,,,https://www.nba.com/player/ayo-dosunmu,https://www.nba.com/team/MIN,ayo-dosunmu,1250,19.5,0.73,26.9,14.2
Bam Adebayo,,MIA,,67,,2161,,,,,,,,,,,,,,,,672,201,77,45,112,115,1349,,,https://www.nba.com/player/bam-adebayo,https://www.nba.com/team/MIA,bam-adebayo,2117,31.6,0.98,32.3,31.0
Baylor Scheierman,,BOS,,70,,1269,,,,,,,,,,,,,,,,245,99,38,5,40,93,350,,,https://www.nba.com/player/baylor-scheierman,https://www.nba.com/team/BOS,baylor-scheierman,604,8.6,0.48,18.1,4.1
Ben Saraf,,BKN,,38,,742,,,,,,,,,,,,,,,,72,123,33,5,84,68,255,,,https://www.nba.com/player/ben-saraf,https://www.nba.com/team/BKN,ben-saraf,336,8.8,0.45,19.5,4.0
Ben Sheppard,,IND,,63,,1344,,,,,,,,,,,,,,,,190,107,37,5,39,113,439,,,https://www.nba.com/player/ben-sheppard,https://www.nba.com/team/IND,ben-sheppard,626,9.9,0.47,21.3,4.6
Bennedict Mathurin,,LAC,,47,,1455,,,,,,,,,,,,,,,,263,108,36,12,104,127,883,,,https://www.nba.com/player/bennedict-mathurin,https://www.nba.com/team/LAC,bennedict-mathurin,1071,22.8,0.74,31.0,16.8
Bez Mbeng,,UTA,,10,,306,,,,,,,,,,,,,,,,36,35,18,4,15,36,48,,,https://www.nba.com/player/bez-mbeng,https://www.nba.com/team/UTA,bez-mbeng,90,9.0,0.29,30.6,2.6
Bilal Coulibaly,,WAS,,52,,1377,,,,,,,,,,,,,,,,230,137,71,48,77,128,589,,,https://www.nba.com/player/bilal-coulibaly,https://www.nba.com/team/WAS,bilal-coulibaly,870,16.7,0.63,26.5,10.6
Bismack Biyombo,,SAS,,23,,133,,,,,,,,,,,,,,,,24,5,4,1,7,26,21,,,https://www.nba.com/player/bismack-biyombo,https://www.nba.com/team/SAS,bismack-biyombo,22,1.0,0.17,5.8,0.2
Blake Hinson,,UTA,,11,,214,,,,,,,,,,,,,,,,24,9,1,2,2,21,117,,,https://www.nba.com/player/blake-hinson,https://www.nba.com/team/UTA,blake-hinson,130,11.8,0.61,19.5,7.2
Blake Wesley,,POR,,27,,352,,,,,,,,,,,,,,,,37,62,16,5,30,33,145,,,https://www.nba.com/player/blake-wesley,https://www.nba.com/team/POR,blake-wesley,202,7.5,0.57,13.0,4.3
Bobby Portis,,MIL,,67,,1619,,,,,,,,,,,,,,,,428,105,41,12,66,110,915,,,https://www.nba.com/player/bobby-portis,https://www.nba.com/team/MIL,bobby-portis,1325,19.8,0.82,24.2,16.2
Bobi Klintman,,DET,,12,,71,,,,,,,,,,,,,,,,19,6,3,0,6,11,22,,,https://www.nba.com/player/bobi-klintman,https://www.nba.com/team/DET,bobi-klintman,33,2.8,0.46,5.9,1.3
Bogdan Bogdanović,,LAC,,21,,429,,,,,,,,,,,,,,,,56,51,10,1,26,44,154,,,https://www.nba.com/player/bogdan-bogdanovic,https://www.nba.com/team/LAC,bogdan-bogdanovic,202,9.6,0.47,20.4,4.5
Bones Hyland,,MIN,,66,,1056,,,,,,,,,,,,,,,,108,170,38,15,61,113,531,,,https://www.nba.com/player/bones-hyland,https://www.nba.com/team/MIN,bones-hyland,688,10.4,0.65,16.0,6.8
Bradley Beal,,LAC,,6,,121,,,,,,,,,,,,,,,,5,10,3,0,9,14,49,,,https://www.nba.com/player/bradley-beal,https://www.nba.com/team/LAC,bradley-beal,44,7.3,0.36,20.2,2.7
Branden Carlson,,OKC,,37,,381,,,,,,,,,,,,,,,,94,21,6,18,13,31,170,,,https://www.nba.com/player/branden-carlson,https://www.nba.com/team/OKC,branden-carlson,265,7.2,0.7,10.3,5.0
Brandin Podziemski,,GSW,,75,,2137,,,,,,,,,,,,,,,,398,285,83,15,122,129,999,,,https://www.nba.com/player/brandin-podziemski,https://www.nba.com/team/GSW,brandin-podziemski,1529,20.4,0.72,28.5,14.6
Brandon Clarke,,MEM,,2,,20,,,,,,,,,,,,,,,,6,1,2,0,0,5,8,,,https://www.nba.com/player/brandon-clarke,https://www.nba.com/team/MEM,brandon-clarke,12,6.0,0.6,10.0,3.6
Brandon Ingram,,TOR,,70,,2380,,,,,,,,,,,,,,,,393,257,54,52,176,136,1499,,,https://www.nba.com/player/brandon-ingram,https://www.nba.com/team/TOR,brandon-ingram,1943,27.8,0.82,34.0,22.7
Brandon Miller,,CHA,,58,,1753,,,,,,,,,,,,,,,,296,200,59,41,157,164,1179,,,https://www.nba.com/player/brandon-miller,https://www.nba.com/team/CHA,brandon-miller,1454,25.1,0.83,30.2,20.8
Brandon Williams,,DAL,,63,,1387,,,,,,,,,,,,,,,,185,244,57,20,118,100,805,,,https://www.nba.com/player/brandon-williams,https://www.nba.com/team/DAL,brandon-williams,1093,17.3,0.79,22.0,13.7
Brice Sensabaugh,,UTA,,70,,1613,,,,,,,,,,,,,,,,213,124,51,10,106,133,1001,,,https://www.nba.com/player/brice-sensabaugh,https://www.nba.com/team/UTA,brice-sensabaugh,1160,16.6,0.72,23.0,11.9
Bronny James,,LAL,,35,,267,,,,,,,,,,,,,,,,17,40,14,3,16,21,79,,,https://www.nba.com/player/bronny-james,https://www.nba.com/team/LAL,bronny-james,116,3.3,0.43,7.6,1.4
Brook Lopez,,LAC,,68,,1442,,,,,,,,,,,,,,,,227,85,44,79,54,131,548,,,https://www.nba.com/player/brook-lopez,https://www.nba.com/team/LAC,brook-lopez,798,11.7,0.55,21.2,6.5
Brooks Barnhizer,,OKC,,36,,278,,,,,,,,,,,,,,,,63,18,6,4,8,23,47,,,https://www.nba.com/player/brooks-barnhizer,https://www.nba.com/team/OKC,brooks-barnhizer,107,3.0,0.38,7.7,1.1
