"Player Link","Player Key","Signed Using","Formatted Signed Using"
"https://www.spotrac.com/nba/player/_/id/78108","chet-holmgren","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/23671","chris-boucher","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74120","chris-duarte","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/84483","chris-livingston","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/2609","chris-paul","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/78148","christian-braun","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/18218","christian-wood","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/13323","cj-mccollum","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15377","clint-capela","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31564","coby-white","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/31595","cody-martin","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91752","cody-williams","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/13317","cody-zeller","sign-and-trade","Sign and Trade"
"https://www.spotrac.com/nba/player/_/id/82320","colby-jones","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/70657","cole-anthony","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26974","collin-sexton","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74122","corey-kispert","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/8080","cory-joseph","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/84768","craig-porter","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/74153","dalano-banton","Minimum","Minimum"
