Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key
Kelly Oubre Jr.,29,PHI,SF,12,11,373,63,154,.409,15,56,.268,48,98,.490,.458,25,33,.758,17,39,56,14,10,4,16,43,166,0,,kelly-oubre
Kenrich Williams,30,OKC,PF,3,0,35,5,9,.556,2,6,.333,3,3,1.000,.667,0,0,,1,6,7,2,1,4,1,5,12,0,,kenrich-williams
Kentavious Caldwell-Pope,31,ORL,SG,14,14,415,33,98,.337,15,64,.234,18,34,.529,.413,19,19,1.000,6,28,34,28,19,8,10,30,100,0,,kentavious-caldwell-pope
Keon Ellis,25,SAC,SG,13,1,270,24,51,.471,11,32,.344,13,19,.684,.578,10,12,.833,10,15,25,10,16,11,13,28,69,0,,keon-ellis
Keon Johnson,22,BRK,SG,12,0,158,22,58,.379,12,36,.333,10,22,.455,.483,6,7,.857,7,29,36,11,4,4,10,18,62,0,,keon-johnson
Kessler Edwards,24,DAL,SF,3,0,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,2,0,0,,kessler-edwards
Kevin Durant,36,PHO,PF,9,9,349,89,161,.553,24,56,.429,65,105,.619,.627,46,55,.836,2,57,59,31,7,13,30,16,248,0,,kevin-durant
Kevin Huerter,26,SAC,SG,12,12,333,53,115,.461,25,74,.338,28,41,.683,.570,5,9,.556,5,42,47,30,15,6,12,33,136,0,,kevin-huerter
Kevin Love,36,MIA,PF,3,3,35,9,19,.474,5,12,.417,4,7,.571,.605,1,1,1.000,3,12,15,4,6,0,0,2,24,0,,kevin-love
Kevin Porter Jr.,24,LAC,SG,13,0,212,41,104,.394,8,32,.250,33,72,.458,.433,12,22,.545,7,34,41,33,8,2,30,16,102,0,,kevin-porter
Kevon Looney,28,GSW,C,11,0,173,25,52,.481,0,0,,25,52,.481,.481,14,23,.609,47,45,92,19,10,4,8,31,64,0,,kevon-looney
Keyonte George,21,UTA,PG,11,11,349,53,150,.353,28,86,.326,25,64,.391,.447,33,42,.786,5,25,30,63,7,1,31,17,167,0,,keyonte-george
KJ Martin,24,PHI,PF,10,1,158,18,28,.643,2,4,.500,16,24,.667,.679,9,12,.750,4,19,23,5,3,6,1,22,47,0,,kj-martin
KJ Simpson,22,CHO,PG,1,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,2,1,3,1,0,0,0,0,2,0,,kj-simpson
Klay Thompson,34,DAL,SF,13,13,382,68,163,.417,41,110,.373,27,53,.509,.543,9,9,1.000,6,38,44,25,6,3,14,18,186,0,,klay-thompson
Kobe Brown,25,LAC,PF,4,0,26,5,13,.385,0,4,.000,5,9,.556,.385,1,2,.500,4,6,10,2,1,0,0,1,11,0,,kobe-brown
Kris Dunn,30,LAC,PG,13,2,288,41,76,.539,15,40,.375,26,36,.722,.638,3,8,.375,11,38,49,40,13,3,11,38,100,0,,kris-dunn
Kris Murray,24,POR,SF,12,0,167,19,43,.442,6,17,.353,13,26,.500,.512,6,15,.400,15,17,32,10,8,1,7,11,50,0,,kris-murray
Kyle Anderson,31,GSW,SF,11,0,186,23,62,.371,8,27,.296,15,35,.429,.435,10,14,.714,10,31,41,30,11,9,4,11,64,0,,kyle-anderson
Kyle Filipowski,21,UTA,C,11,5,199,32,57,.561,9,23,.391,23,34,.676,.640,9,21,.429,9,41,50,19,6,2,11,15,82,0,,kyle-filipowski
Kyle Kuzma,29,WAS,PF,6,6,171,39,107,.364,12,43,.279,27,64,.422,.421,13,17,.765,6,34,40,14,2,3,20,12,103,0,,kyle-kuzma
Kyle Lowry,38,PHI,PG,12,9,296,24,60,.400,17,45,.378,7,15,.467,.542,15,19,.789,6,22,28,43,15,5,10,22,80,0,,kyle-lowry
Kyrie Irving,32,DAL,SG,12,12,420,113,206,.549,35,67,.522,78,139,.561,.633,38,45,.844,14,45,59,60,18,3,24,25,299,0,,kyrie-irving
Kyshawn George,21,WAS,SG,11,4,310,39,106,.368,20,71,.282,19,35,.543,.462,13,16,.813,7,41,48,32,10,10,10,40,111,0,,kyshawn-george
LaMelo Ball,23,CHO,PG,12,12,406,122,277,.440,55,151,.364,67,126,.532,.540,56,64,.875,13,51,64,75,15,3,52,48,355,0,,lamelo-ball
Larry Nance Jr.,32,ATL,PF,8,1,130,28,42,.667,14,21,.667,14,21,.667,.833,1,2,.500,9,10,19,11,6,2,4,11,71,0,,larry-nance
Lauri Markkanen,27,UTA,PF,9,9,269,45,106,.425,22,49,.449,23,57,.404,.528,43,50,.860,15,39,54,23,5,0,15,12,155,0,,lauri-markkanen
League Average,,,,,,,,,.463,,,.356,,,.540,.538,,,.780,,,,,,,,,,,,league-average
LeBron James,40,LAL,SF,13,13,460,111,216,.514,31,72,.431,80,144,.556,.586,50,66,.758,10,102,112,120,9,6,47,17,303,5,,lebron-james
Lester Quiñones,24,PHI,SG,2,0,5,1,2,.500,0,1,.000,1,1,1.000,.500,1,1,1.000,2,1,3,1,0,0,0,0,3,0,,lester-quinones
Liam Robbins,25,MIL,C,3,0,17,2,3,.667,0,1,.000,2,2,1.000,.667,1,4,.250,2,1,3,0,0,0,0,3,5,0,,liam-robbins
Lindy Waters III,27,GSW,SG,10,2,134,20,40,.500,11,27,.407,9,13,.692,.638,2,2,1.000,4,13,17,14,3,2,1,10,53,0,,lindy-waters
Lonzo Ball,27,CHI,PG,3,0,47,5,14,.357,4,12,.333,1,2,.500,.500,0,0,,0,8,8,11,0,1,3,4,14,0,,lonzo-ball
Luguentz Dort,25,OKC,SG,13,13,364,52,110,.473,31,69,.449,21,41,.512,.614,18,21,.857,12,38,50,20,17,10,9,37,153,0,,luguentz-dort
Luka Dončić,25,DAL,PG,13,13,484,128,301,.425,42,131,.321,86,170,.506,.495,69,87,.793,8,94,102,102,19,4,43,39,367,0,,luka-doncic
Luka Garza,26,MIN,PF,4,0,17,4,11,.364,0,4,.000,4,7,.571,.364,0,1,.000,1,4,5,0,0,0,2,1,8,0,,luka-garza
Luke Kennard,28,MEM,SG,5,0,96,11,28,.393,9,21,.429,2,7,.286,.554,3,4,.750,2,11,13,20,2,1,5,7,34,0,,luke-kennard
Luke Kornet,29,BOS,C,13,2,217,20,32,.625,0,0,,20,32,.625,.625,16,17,.941,25,26,51,22,7,9,5,19,56,0,,luke-kornet
Luke Travers,23,CLE,SG,2,0,7,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,1,2,3,2,0,1,0,3,4,0,,luke-travers
Mac McClung,26,ORL,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0,0,,mac-mcclung
Malaki Branham,21,SAS,SG,12,0,175,37,75,.493,14,30,.467,23,45,.511,.587,15,18,.833,1,20,21,14,5,2,15,6,103,0,,malaki-branham
Malevy Leons,25,OKC,SF,6,0,21,0,2,.000,0,1,.000,0,1,.000,.000,2,4,.500,1,2,3,1,0,0,1,4,2,0,,malevy-leons
Malik Beasley,28,DET,SG,14,2,400,70,177,.395,46,120,.383,24,57,.421,.525,14,21,.667,9,32,41,23,9,1,20,22,200,0,,malik-beasley
Malik Monk,26,SAC,SG,10,0,250,46,104,.442,12,43,.279,34,61,.557,.500,22,26,.846,0,30,30,28,9,4,8,18,126,0,,malik-monk
Marcus Sasser,24,DET,PG,6,0,67,9,17,.529,1,6,.167,8,11,.727,.559,2,2,1.000,1,6,7,6,3,2,2,1,21,0,,marcus-sasser
Marcus Smart,30,MEM,PG,7,5,141,15,50,.300,6,28,.214,9,22,.409,.360,16,19,.842,7,11,18,26,7,6,14,15,52,0,,marcus-smart
MarJon Beauchamp,24,MIL,SF,8,0,27,5,14,.357,1,6,.167,4,8,.500,.393,4,4,1.000,2,4,6,1,1,0,7,3,15,0,,marjon-beauchamp
Markieff Morris,35,DAL,PF,2,0,10,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,0,4,4,2,0,0,0,0,2,0,,markieff-morris
Marvin Bagley III,25,WAS,C,7,0,43,9,18,.500,0,3,.000,9,15,.600,.500,5,7,.714,7,11,18,2,0,1,5,1,23,0,,marvin-bagley
Mason Jones,26,SAC,SG,3,0,13,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,3,4,7,0,0,0,1,0,0,,mason-jones
Mason Plumlee,34,PHO,C,12,1,208,23,37,.622,0,0,,23,37,.622,.622,14,27,.519,16,53,69,17,4,6,7,23,60,0,,mason-plumlee
Matas Buzelis,20,CHI,SF,12,0,102,11,34,.324,6,18,.333,5,16,.313,.412,5,8,.625,5,19,24,3,5,7,7,9,33,0,,matas-buzelis
Matt Ryan,27,NYK,SF,3,0,20,1,6,.167,1,4,.250,0,2,.000,.250,0,0,,0,0,0,0,0,0,0,0,3,0,,matt-ryan
Max Christie,21,LAL,SG,12,1,191,16,46,.348,6,23,.261,10,23,.435,.413,13,14,.929,8,16,24,12,9,4,6,15,51,0,,max-christie
Maxi Kleber,33,DAL,PF,4,2,60,4,9,.444,1,3,.333,3,6,.500,.500,1,2,.500,1,8,9,3,0,1,0,5,10,0,,maxi-kleber
Maxwell Lewis,22,LAL,SF,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,0,,maxwell-lewis
Michael Porter Jr.,26,DEN,SF,11,11,407,77,159,.484,35,83,.422,42,76,.553,.594,15,20,.750,14,62,76,32,11,5,11,24,204,0,,michael-porter
Mikal Bridges,28,NYK,SF,12,12,459,81,167,.485,25,76,.329,56,91,.615,.560,7,11,.636,14,33,47,43,15,8,19,18,194,0,,mikal-bridges
Mike Conley,37,MIN,PG,12,12,295,29,92,.315,21,64,.328,8,28,.286,.429,16,18,.889,8,29,37,59,20,3,14,22,95,0,,mike-conley
