"SportswsId","SportswsShortName","SportswsTeam","SportswsPosition","SportswsUrl","SportswsClean"
"/nba/andre-drummond","A. Drummond","CHI","C","https://sports.ws/nba/andre-drummond","andre_drummond"
"/nba/austin-rivers","A. Rivers","*FA","G","https://sports.ws/nba/austin-rivers","austin_rivers"
"/nba/meyers-leonard","M. Leonard","*FA","C","https://sports.ws/nba/meyers-leonard","meyers_leonard"
"/nba/evan-fournier","E. Fournier","NYK","F","https://sports.ws/nba/evan-fournier","evan_fournier"
"/nba/jae-crowder","J. Crowder","MIL","F","https://sports.ws/nba/jae-crowder","jae_crowder"
"/nba/draymond-green","D. Green","GSW","FC","https://sports.ws/nba/draymond-green","draymond_green"
"/nba/khris-middleton","K. Middleton","MIL","GF","https://sports.ws/nba/khris-middleton","khris_middleton"
"/nba/will-barton","W. Barton","*FA","GF","https://sports.ws/nba/will-barton","will_barton"
"/nba/jonas-valanciunas","J. Valanciunas","NOR","C","https://sports.ws/nba/jonas-valanciunas","jonas_valanciunas"
"/nba/justin-holiday","J. Holiday","DEN","GF","https://sports.ws/nba/justin-holiday","justin_holiday"
"/nba/victor-oladipo","V. Oladipo","OKL","GF","https://sports.ws/nba/victor-oladipo","victor_oladipo"
"/nba/otto-porter","O. Porter Jr.","TOR","G","https://sports.ws/nba/otto-porter","otto_porter"
"/nba/cody-zeller","C. Zeller","NOR","C","https://sports.ws/nba/cody-zeller","cody_zeller"
"/nba/alex-len","A. Len","SAC","C","https://sports.ws/nba/alex-len","alex_len"
"/nba/nerlens-noel","N. Noel","SAC","C","https://sports.ws/nba/nerlens-noel","nerlens_noel"
"/nba/kentavious-caldwell-pope","K. Caldwell-Pope","DEN","G","https://sports.ws/nba/kentavious-caldwell-pope","kentavious_caldwell_pope"
"/nba/cj-mccollum","C. McCollum","NOR","G","https://sports.ws/nba/cj-mccollum","cj_mccollum"
"/nba/michael-carter-williams","M. Carter-Williams","*FA","G","https://sports.ws/nba/michael-carter-williams","michael_carter_williams"
"/nba/steven-adams","S. Adams","MEM","C","https://sports.ws/nba/steven-adams","steven_adams"
