"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Ben Sheppard","23","IND","SG","13","5","272","28","66",".424","19","47",".404","9","19",".474",".568","0","0","","5","24","29","17","5","4","5","33","75","0","","ben-sheppard"
"Ben Simmons","28","BRK","PG","10","8","243","25","45",".556","0","0","","25","45",".556",".556","3","4",".750","9","49","58","70","8","5","29","32","53","0","","ben-simmons"
"Bennedict Mathurin","22","IND","SG","13","8","405","80","152",".526","21","48",".438","59","104",".567",".595","65","78",".833","15","74","89","22","8","1","22","31","246","0","","bennedict-mathurin"
"Bilal Coulibaly","20","WAS","SF","12","12","415","67","121",".554","13","35",".371","54","86",".628",".607","30","40",".750","23","46","69","31","15","8","26","30","177","0","","bilal-coulibaly"
"Blake Wesley","21","SAS","SG","13","0","153","22","50",".440","2","13",".154","20","37",".541",".460","9","11",".818","3","5","8","22","5","1","14","9","55","0","","blake-wesley"
"Bobby Portis","29","MIL","PF","12","1","292","71","151",".470","10","39",".256","61","112",".545",".503","11","16",".688","26","71","97","11","5","6","15","20","163","0","","bobby-portis"
"Bogdan Bogdanović","32","ATL","SG","1","0","28","2","6",".333","2","6",".333","0","0","",".500","2","2","1.000","0","2","2","2","0","2","2","3","8","0","","bogdan-bogdanovic"
"Bol Bol","25","PHO","PF","2","0","11","3","6",".500","1","3",".333","2","3",".667",".583","3","4",".750","1","2","3","1","0","0","1","1","10","0","","bol-bol"
"Bones Hyland","24","LAC","PG","4","0","21","5","14",".357","3","7",".429","2","7",".286",".464","4","4","1.000","1","2","3","0","2","2","1","2","17","0","","bones-hyland"
"Bradley Beal","31","PHO","SG","9","9","313","58","122",".475","23","60",".383","35","62",".565",".570","21","26",".808","6","30","36","33","13","8","12","24","160","0","","bradley-beal"
"Brandin Podziemski","21","GSW","SG","11","3","283","38","96",".396","9","45",".200","29","51",".569",".443","8","12",".667","11","42","53","39","10","4","15","28","93","0","","brandin-podziemski"
"Brandon Boston Jr.","23","NOP","SG","11","7","320","50","113",".442","15","42",".357","35","71",".493",".509","20","22",".909","11","39","50","44","15","3","17","19","135","0","","brandon-boston"
"Brandon Clarke","28","MEM","PF","13","4","201","31","61",".508","1","12",".083","30","49",".612",".516","8","11",".727","12","34","46","7","12","1","4","18","71","0","","brandon-clarke"
"Brandon Ingram","27","NOP","SF","14","14","471","131","279",".470","35","96",".365","96","183",".525",".532","34","39",".872","15","69","84","76","13","8","53","36","331","0","","brandon-ingram"
"Brandon Miller","22","CHO","SF","9","9","272","48","136",".353","26","85",".306","22","51",".431",".449","16","17",".941","5","33","38","34","12","4","16","19","138","0","","brandon-miller"
"Brandon Williams","25","DAL","PG","4","0","19","2","9",".222","0","2",".000","2","7",".286",".222","2","3",".667","1","3","4","2","0","0","2","2","6","0","","brandon-williams"
"Brice Sensabaugh","21","UTA","SF","9","0","113","15","34",".441","8","22",".364","7","12",".583",".559","8","9",".889","6","11","17","4","3","0","11","3","46","0","","brice-sensabaugh"
"Bronny James","20","LAL","SG","6","0","16","1","6",".167","0","4",".000","1","2",".500",".167","2","2","1.000","1","0","1","2","1","0","0","2","4","0","","bronny-james"
"Brook Lopez","36","MIL","C","13","13","413","49","122",".402","21","70",".300","28","52",".538",".488","18","24",".750","16","48","64","20","16","30","18","35","137","0","","brook-lopez"
"Bruno Fernando","26","TOR","C","11","0","100","17","35",".486","0","0","","17","35",".486",".486","5","6",".833","16","21","37","12","1","7","10","18","39","0","","bruno-fernando"
"Buddy Hield","32","GSW","SG","12","1","300","77","156",".494","46","98",".469","31","58",".534",".641","12","14",".857","11","37","48","23","10","5","14","26","212","0","","buddy-hield"
"Cade Cunningham","23","DET","PG","15","15","545","132","297",".444","32","90",".356","100","207",".483",".498","50","60",".833","15","95","110","131","14","15","71","38","346","4","","cade-cunningham"
"Caleb Houstan","22","ORL","SF","9","0","43","3","13",".231","2","10",".200","1","3",".333",".308","0","0","","1","6","7","0","0","1","0","6","8","0","","caleb-houstan"
"Caleb Martin","29","PHI","SF","12","11","409","44","102",".431","11","34",".324","33","68",".485",".485","32","47",".681","21","47","68","32","14","3","27","28","131","0","","caleb-martin"
"Cam Reddish","25","LAL","SF","7","4","147","12","20",".600","5","9",".556","7","11",".636",".725","4","8",".500","4","17","21","5","7","2","3","12","33","0","","cam-reddish"
"Cam Thomas","23","BRK","SG","14","14","478","114","249",".458","40","102",".392","74","147",".503",".538","77","89",".865","5","42","47","43","12","1","39","28","345","0","","cam-thomas"
"Cam Whitmore","20","HOU","SF","7","0","74","17","44",".386","1","18",".056","16","26",".615",".398","8","12",".667","4","7","11","3","1","1","3","8","43","0","","cam-whitmore"
"Cameron Johnson","28","BRK","PF","14","14","465","79","168",".470","40","105",".381","39","63",".619",".589","39","43",".907","9","50","59","40","9","5","6","30","237","0","","cameron-johnson"
"Cameron Payne","30","NYK","PG","9","0","139","24","59",".407","13","33",".394","11","26",".423",".517","0","2",".000","4","12","16","27","7","2","4","20","61","0","","cameron-payne"
"Caris LeVert","30","CLE","SG","13","0","317","55","103",".534","22","48",".458","33","55",".600",".641","21","28",".750","9","29","38","58","13","7","14","18","153","0","","caris-levert"
