"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Mason Plumlee","34","PHO","C","13","2","237","26","43",".605","0","0","","26","43",".605",".605","14","27",".519","19","58","77","21","5","6","11","29","66","0","","mason-plumlee"
"Matas Buzelis","20","CHI","SF","13","0","117","13","40",".325","8","21",".381","5","19",".263",".425","7","10",".700","6","21","27","3","6","7","9","11","41","0","","matas-buzelis"
"Matt Ryan","27","NYK","SF","3","0","20","1","6",".167","1","4",".250","0","2",".000",".250","0","0","","0","0","0","0","0","0","0","0","3","0","","matt-ryan"
"Max Christie","21","LAL","SG","12","1","191","16","46",".348","6","23",".261","10","23",".435",".413","13","14",".929","8","16","24","12","9","4","6","15","51","0","","max-christie"
"Maxi Kleber","33","DAL","PF","5","2","74","5","10",".500","1","3",".333","4","7",".571",".550","1","2",".500","1","10","11","3","0","1","3","9","12","0","","maxi-kleber"
"Maxwell Lewis","22","LAL","SF","2","0","3","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","0","1","0","0","","maxwell-lewis"
"Michael Porter Jr.","26","DEN","SF","12","12","434","81","171",".474","35","87",".402","46","84",".548",".576","17","22",".773","14","65","79","33","11","5","13","25","214","0","","michael-porter"
"Mikal Bridges","28","NYK","SF","13","13","504","90","185",".486","28","86",".326","62","99",".626",".562","7","11",".636","16","37","53","44","16","9","20","20","215","0","","mikal-bridges"
"Mike Conley","37","MIN","PG","13","13","325","30","94",".319","22","65",".338","8","29",".276",".436","16","19",".842","8","33","41","62","22","3","15","22","98","0","","mike-conley"
"Miles Bridges","26","CHO","PF","10","10","298","54","132",".409","19","60",".317","35","72",".486",".481","28","33",".848","8","61","69","31","7","5","14","14","155","0","","miles-bridges"
"Miles McBride","24","NYK","PG","11","0","290","44","100",".440","22","58",".379","22","42",".524",".550","8","10",".800","4","21","25","28","12","3","12","19","118","0","","miles-mcbride"
"Mo Bamba","26","LAC","C","1","0","15","4","8",".500","0","2",".000","4","6",".667",".500","1","1","1.000","3","5","8","1","1","0","1","3","9","0","","mo-bamba"
"Monte Morris","29","PHO","PG","10","0","114","15","37",".405","7","18",".389","8","19",".421",".500","10","12",".833","2","10","12","15","5","3","4","2","47","0","","monte-morris"
"Moritz Wagner","27","ORL","C","14","1","261","60","110",".545","13","38",".342","47","72",".653",".605","44","55",".800","11","51","62","13","10","3","27","28","177","0","","moritz-wagner"
"Moses Moody","22","GSW","SG","12","4","194","39","81",".481","22","48",".458","17","33",".515",".617","15","21",".714","6","19","25","12","4","3","12","14","115","0","","moses-moody"
"Mouhamed Gueye","22","ATL","PF","2","0","11","1","4",".250","0","2",".000","1","2",".500",".250","0","0","","0","2","2","0","0","0","1","0","2","0","","mouhamed-gueye"
"Moussa Diabaté","23","CHO","PF","13","0","209","25","37",".676","0","0","","25","37",".676",".676","3","8",".375","39","56","95","7","5","12","11","16","53","0","","moussa-diabate"
"Myles Turner","28","IND","C","12","12","395","76","159",".478","28","66",".424","48","93",".516",".566","31","45",".689","11","71","82","17","11","21","30","39","211","0","","myles-turner"
"Naji Marshall","27","DAL","SF","14","4","333","49","98",".500","4","28",".143","45","70",".643",".520","19","19","1.000","16","35","51","40","15","2","17","20","121","0","","naji-marshall"
"Naz Reid","25","MIN","C","14","0","346","76","144",".528","32","74",".432","44","70",".629",".639","29","32",".906","11","62","73","23","7","6","15","33","213","0","","naz-reid"
"Neemias Queta","25","BOS","C","13","4","247","38","58",".655","0","2",".000","38","56",".679",".655","9","12",".750","27","44","71","8","2","11","8","24","85","0","","neemias-queta"
"Nic Claxton","25","BRK","C","11","5","273","41","63",".651","0","0","","41","63",".651",".651","13","28",".464","22","63","85","28","6","13","11","27","95","0","","nic-claxton"
"Nick Richards","27","CHO","C","5","5","137","21","33",".636","0","1",".000","21","32",".656",".636","13","22",".591","20","30","50","9","2","12","7","14","55","0","","nick-richards"
"Nick Smith Jr.","20","CHO","SG","5","0","23","3","10",".300","1","5",".200","2","5",".400",".350","0","0","","0","1","1","1","1","0","1","1","7","0","","nick-smith"
"Nickeil Alexander-Walker","26","MIN","SG","14","1","331","45","85",".529","23","48",".479","22","37",".595",".665","10","14",".714","9","27","36","37","14","5","21","16","123","0","","nickeil-alexander-walker"
"Nicolas Batum","36","LAC","PF","14","0","232","15","44",".341","9","33",".273","6","11",".545",".443","6","8",".750","9","26","35","22","6","10","7","19","45","0","","nicolas-batum"
"Nikola Jokić","29","DEN","C","10","10","381","108","192",".563","22","39",".564","86","153",".562",".620","59","70",".843","45","92","137","117","17","10","41","20","297","6","","nikola-jokic"
"Nikola Jović","21","MIA","PF","12","8","241","38","82",".463","14","42",".333","24","40",".600",".549","15","18",".833","8","40","48","16","12","1","8","20","105","0","","nikola-jovic"
"Nikola Vučević","34","CHI","C","14","14","447","115","194",".593","25","56",".446","90","138",".652",".657","27","31",".871","31","105","136","42","9","10","25","33","282","0","","nikola-vucevic"
"Noah Clowney","20","BRK","PF","12","1","195","29","76",".382","17","48",".354","12","28",".429",".493","12","17",".706","13","25","38","10","4","6","9","30","87","0","","noah-clowney"
"Norman Powell","31","LAC","SG","14","14","476","112","232",".483","53","113",".469","59","119",".496",".597","49","60",".817","4","41","45","35","16","3","28","28","326","0","","norman-powell"
"Obi Toppin","26","IND","PF","12","0","245","44","80",".550","11","34",".324","33","46",".717",".619","13","15",".867","11","26","37","18","6","4","10","15","112","0","","obi-toppin"
"Ochai Agbaji","24","TOR","SG","14","12","453","72","138",".522","27","61",".443","45","77",".584",".620","13","18",".722","16","53","69","27","18","8","15","38","184","0","","ochai-agbaji"
"OG Anunoby","27","NYK","PF","13","13","479","85","170",".500","28","75",".373","57","95",".600",".582","29","36",".806","13","58","71","29","18","9","16","34","227","0","","og-anunoby"
"Olivier-Maxence Prosper","22","DAL","PF","8","0","51","6","17",".353","0","3",".000","6","14",".429",".353","1","1","1.000","6","4","10","0","0","0","1","6","13","0","","olivier-maxence-prosper"
"Onyeka Okongwu","24","ATL","C","12","0","289","53","96",".552","4","22",".182","49","74",".662",".573","27","32",".844","28","54","82","22","10","10","12","28","137","0","","onyeka-okongwu"
"Orlando Robinson","24","SAC","C","1","0","12","2","2","1.000","1","1","1.000","1","1","1.000","1.250","1","2",".500","2","1","3","0","0","0","1","2","6","0","","orlando-robinson"
"Oso Ighodaro","22","PHO","PF","9","0","130","14","23",".609","0","0","","14","23",".609",".609","8","9",".889","9","25","34","4","2","4","6","19","36","0","","oso-ighodaro"
"Ousmane Dieng","21","OKC","SF","14","0","172","20","58",".345","9","35",".257","11","23",".478",".422","7","9",".778","9","31","40","13","9","4","3","18","56","0","","ousmane-dieng"
"Pacome Dadiet","19","NYK","SG","6","0","49","3","9",".333","2","5",".400","1","4",".250",".444","2","2","1.000","0","9","9","2","1","2","1","4","10","0","","pacome-dadiet"
"Paolo Banchero","22","ORL","PF","5","5","182","48","97",".495","11","32",".344","37","65",".569",".552","38","59",".644","12","32","44","28","3","4","11","13","145","0","","paolo-banchero"
"Pascal Siakam","30","IND","PF","13","13","439","103","183",".563","28","60",".467","75","123",".610",".639","28","36",".778","21","60","81","52","9","2","18","38","262","0","","pascal-siakam"
"Pat Connaughton","32","MIL","SG","13","0","229","22","62",".355","12","40",".300","10","22",".455",".452","8","10",".800","6","31","37","24","3","2","10","15","64","0","","pat-connaughton"
"Pat Spencer","28","GSW","PG","3","0","5","2","3",".667","0","0","","2","3",".667",".667","0","0","","0","0","0","1","0","0","0","0","4","0","","pat-spencer"
"Patrick Baldwin Jr.","22","WAS","SF","8","0","41","7","17",".412","3","9",".333","4","8",".500",".500","2","4",".500","2","6","8","1","2","1","1","4","19","0","","patrick-baldwin"
"Patrick Williams","23","CHI","PF","14","14","400","47","123",".382","26","67",".388","21","56",".375",".488","21","25",".840","14","56","70","33","15","8","28","18","141","0","","patrick-williams"
"Patty Mills","36","UTA","PG","9","0","138","11","31",".355","7","24",".292","4","7",".571",".468","3","3","1.000","1","7","8","13","6","2","8","8","32","0","","patty-mills"
"Paul George","34","PHI","PF","6","6","181","35","88",".398","14","45",".311","21","43",".488",".477","15","18",".833","6","27","33","31","14","2","21","15","99","0","","paul-george"
"Paul Reed","25","DET","PF","7","0","69","12","20",".600","1","2",".500","11","18",".611",".625","4","5",".800","4","7","11","3","4","4","6","15","29","0","","paul-reed"
"Payton Pritchard","27","BOS","PG","14","0","395","71","153",".464","52","124",".419","19","29",".655",".634","23","26",".885","11","25","36","39","16","1","17","26","217","0","","payton-pritchard"
"Pelle Larsson","23","MIA","SG","7","0","97","12","23",".522","5","12",".417","7","11",".636",".630","6","10",".600","2","6","8","11","4","0","4","11","35","0","","pelle-larsson"
"Peyton Watson","22","DEN","SF","12","5","290","38","90",".422","11","30",".367","27","60",".450",".483","22","29",".759","12","29","41","12","11","11","6","23","109","0","","peyton-watson"
"PJ Dozier","28","MIN","SG","4","0","15","1","2",".500","1","2",".500","0","0","",".750","1","2",".500","1","2","3","2","1","0","0","2","4","0","","pj-dozier"
"PJ Hall","22","DEN","C","1","0","1","0","0","","0","0","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","","pj-hall"
"P.J. Washington","26","DAL","PF","9","8","275","35","81",".432","10","36",".278","25","45",".556",".494","13","18",".722","18","57","75","14","13","10","9","18","93","0","","pj-washington"
"Quentin Grimes","24","DAL","SG","13","2","216","22","51",".431","12","32",".375","10","19",".526",".549","10","13",".769","5","31","36","14","6","1","8","22","66","0","","quentin-grimes"
"Quenton Jackson","26","IND","PG","5","0","53","8","15",".533","1","4",".250","7","11",".636",".567","2","2","1.000","3","4","7","6","2","1","4","6","19","0","","quenton-jackson"
"Rayan Rupert","20","POR","SG","13","0","140","19","39",".487","7","18",".389","12","21",".571",".577","4","6",".667","10","13","23","3","6","1","7","11","49","0","","rayan-rupert"
"Reece Beekman","23","GSW","PG","2","0","4","1","1","1.000","0","0","","1","1","1.000","1.000","0","0","","1","0","1","1","1","0","0","1","2","0","","reece-beekman"
"Reed Sheppard","20","HOU","SG","14","0","174","22","54",".407","11","30",".367","11","24",".458",".509","0","0","","5","13","18","22","5","4","9","14","55","0","","reed-sheppard"
"Reggie Jackson","34","PHI","PG","5","0","56","7","20",".350","5","12",".417","2","8",".250",".475","0","0","","0","6","6","11","2","0","3","5","19","0","","reggie-jackson"
"Richaun Holmes","31","WAS","PF","2","0","8","3","6",".500","0","1",".000","3","5",".600",".500","0","0","","1","1","2","0","0","0","0","1","6","0","","richaun-holmes"
"Ricky Council IV","23","PHI","SG","9","0","65","5","20",".250","2","9",".222","3","11",".273",".300","6","6","1.000","2","6","8","7","0","0","2","2","18","0","","ricky-council"
"Riley Minix","24","SAS","SF","1","0","7","0","1",".000","0","1",".000","0","0","",".000","0","0","","0","2","2","0","0","0","0","0","0","0","","riley-minix"
"RJ Barrett","24","TOR","SG","11","11","374","87","216",".403","21","66",".318","66","150",".440",".451","44","64",".688","10","58","68","73","11","3","34","29","239","1","","rj-barrett"
"Rob Dillingham","20","MIN","PG","7","0","37","6","11",".545","2","3",".667","4","8",".500",".636","0","0","","0","3","3","7","0","0","6","1","14","0","","rob-dillingham"
"Robert Williams","27","POR","C","4","0","79","21","25",".840","1","2",".500","20","23",".870",".860","7","7","1.000","7","18","25","7","6","6","6","1","50","0","","robert-williams"
"Ron Holland","19","DET","SF","15","1","239","34","84",".405","4","35",".114","30","49",".612",".429","16","19",".842","10","36","46","7","9","2","10","21","88","0","","ron-holland"
"Royce O'Neale","31","PHO","SF","14","1","351","47","113",".416","28","67",".418","19","46",".413",".540","12","15",".800","21","65","86","34","12","13","12","34","134","0","","royce-oneale"
"Rudy Gobert","32","MIN","C","14","14","460","58","92",".630","0","0","","58","92",".630",".630","36","45",".800","44","102","146","27","6","22","25","40","152","0","","rudy-gobert"
"Rui Hachimura","26","LAL","PF","10","10","339","45","107",".421","18","36",".500","27","71",".380",".505","19","23",".826","22","39","61","15","7","5","7","20","127","0","","rui-hachimura"
"Russell Westbrook","36","DEN","PG","12","3","291","40","114",".351","13","39",".333","27","75",".360",".408","35","51",".686","11","37","48","64","16","7","29","32","128","0","","russell-westbrook"
"Ryan Dunn","22","PHO","SF","13","7","239","36","82",".439","18","55",".327","18","27",".667",".549","1","6",".167","5","26","31","8","7","7","7","31","91","0","","ryan-dunn"
"Ryan Rollins","22","MIL","PG","9","1","68","10","23",".435","6","11",".545","4","12",".333",".565","3","4",".750","3","8","11","9","7","4","7","8","29","0","","ryan-rollins"
"Sam Hauser","27","BOS","PF","11","0","234","32","84",".381","23","71",".324","9","13",".692",".518","1","1","1.000","9","30","39","13","6","4","4","10","88","0","","sam-hauser"
"Sam Merrill","28","CLE","SG","12","0","236","27","67",".403","22","60",".367","5","7",".714",".567","6","6","1.000","2","18","20","19","8","1","6","24","82","0","","sam-merrill"
"Sandro Mamukelashvili","25","SAS","PF","11","0","100","18","32",".563","11","23",".478","7","9",".778",".734","7","7","1.000","6","25","31","4","1","5","9","7","54","0","","sandro-mamukelashvili"
"Santi Aldama","24","MEM","PF","14","11","396","68","148",".459","16","66",".242","52","82",".634",".514","14","15",".933","21","75","96","48","13","8","18","16","166","0","","santi-aldama"
"Scoot Henderson","20","POR","PG","14","2","362","60","147",".408","12","42",".286","48","105",".457",".449","29","36",".806","9","32","41","70","15","1","44","36","161","0","","scoot-henderson"
"Scottie Barnes","23","TOR","PF","4","4","134","29","63",".460","2","11",".182","27","52",".519",".476","17","23",".739","10","21","31","24","8","2","16","12","77","0","","scottie-barnes"
"Scotty Pippen Jr.","24","MEM","PG","14","5","360","58","126",".460","17","43",".395","41","83",".494",".528","28","34",".824","8","46","54","82","18","6","32","43","161","1","","scotty-pippen"
"Seth Curry","34","CHO","SG","12","4","189","23","55",".418","13","31",".419","10","24",".417",".536","3","5",".600","9","13","22","7","6","1","4","18","62","0","","seth-curry"
"Shaedon Sharpe","21","POR","SG","6","4","161","41","86",".477","10","36",".278","31","50",".620",".535","16","24",".667","5","13","18","12","6","1","11","12","108","0","","shaedon-sharpe"
"Shai Gilgeous-Alexander","26","OKC","SG","14","14","469","141","279",".505","24","76",".316","117","203",".576",".548","93","105",".886","12","62","74","88","23","17","36","23","399","0","","shai-gilgeous-alexander"
"Shake Milton","28","BRK","SG","11","0","105","8","21",".381","6","16",".375","2","5",".400",".524","2","2","1.000","4","5","9","14","2","0","2","9","24","0","","shake-milton"
"Sidy Cissoko","20","SAS","SF","7","0","20","2","4",".500","1","1","1.000","1","3",".333",".625","0","2",".000","2","4","6","4","0","0","1","4","5","0","","sidy-cissoko"
"Simone Fontecchio","29","DET","SF","13","0","251","25","68",".368","15","46",".326","10","22",".455",".478","17","21",".810","9","35","44","12","3","1","8","17","82","0","","simone-fontecchio"
"Spencer Dinwiddie","31","DAL","PG","13","0","219","17","50",".340","10","32",".313","7","18",".389",".440","9","12",".750","1","14","15","21","5","3","7","16","53","0","","spencer-dinwiddie"
"Spencer Jones","23","DEN","SF","1","0","2","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","1","0","0","0","0","0","","spencer-jones"
"Stanley Umude","25","MIL","SG","3","0","14","1","3",".333","1","3",".333","0","0","",".500","0","2",".000","0","2","2","1","0","1","0","0","3","0","","stanley-umude"
"Stephen Curry","36","GSW","PG","9","9","259","68","142",".479","35","81",".432","33","61",".541",".602","33","35",".943","3","43","46","58","18","5","32","13","204","0","","stephen-curry"
"Stephon Castle","20","SAS","PG","14","7","344","49","123",".398","14","47",".298","35","76",".461",".455","26","38",".684","11","25","36","44","12","5","18","23","138","0","","stephon-castle"
"Steven Adams","31","HOU","C","6","0","75","7","11",".636","0","0","","7","11",".636",".636","3","8",".375","9","9","18","8","3","0","10","10","17","0","","steven-adams"
"Svi Mykhailiuk","27","UTA","SF","2","0","16","2","6",".333","2","5",".400","0","1",".000",".500","0","0","","0","1","1","2","1","0","2","2","6","0","","svi-mykhailiuk"
"Taj Gibson","39","CHO","C","6","5","76","10","18",".556","1","2",".500","9","16",".563",".583","2","3",".667","11","14","25","1","1","3","5","13","23","0","","taj-gibson"
"Talen Horton-Tucker","24","CHI","SG","10","0","95","16","37",".432","5","14",".357","11","23",".478",".500","11","16",".688","7","14","21","14","0","1","3","7","48","0","","talen-horton-tucker"
"Tari Eason","23","HOU","SF","14","0","315","69","131",".527","14","41",".341","55","90",".611",".580","15","22",".682","29","50","79","16","25","15","14","36","167","0","","tari-eason"
"Taurean Prince","30","MIL","SF","13","13","392","46","90",".511","29","52",".558","17","38",".447",".672","1","1","1.000","12","59","71","29","11","1","14","29","122","0","","taurean-prince"
"Taylor Hendricks","21","UTA","PF","3","3","75","4","18",".222","3","12",".250","1","6",".167",".306","3","4",".750","5","10","15","2","5","4","2","8","14","0","","taylor-hendricks"
"Terance Mann","28","LAC","SG","14","11","299","30","75",".400","7","26",".269","23","49",".469",".447","11","15",".733","17","37","54","22","7","4","8","32","78","0","","terance-mann"
"Terrence Shannon Jr. ","24","MIN","SG","4","0","15","2","3",".667","0","1",".000","2","2","1.000",".667","0","0","","0","0","0","2","2","1","2","0","4","0","","terrence-shannon"
"Terry Rozier","30","MIA","PG","12","12","381","54","142",".380","24","72",".333","30","70",".429",".465","23","26",".885","8","42","50","44","10","5","22","20","155","0","","terry-rozier"
"Thomas Bryant","27","MIA","C","7","0","89","10","21",".476","4","11",".364","6","10",".600",".571","5","5","1.000","6","19","25","4","1","5","1","7","29","0","","thomas-bryant"
"Tidjane Salaün","19","CHO","PF","11","2","179","11","47",".234","7","32",".219","4","15",".267",".309","1","4",".250","9","29","38","12","4","1","8","8","30","0","","tidjane-salaun"
"Tim Hardaway Jr.","32","DET","SG","12","12","341","47","101",".465","32","70",".457","15","31",".484",".624","24","27",".889","1","19","20","24","5","0","8","19","150","0","","tim-hardaway"
"T.J. McConnell","32","IND","PG","12","0","210","53","95",".558","1","4",".250","52","91",".571",".563","3","5",".600","6","23","29","48","11","2","21","10","110","0","","tj-mcconnell"
"Tobias Harris","32","DET","PF","15","15","502","80","182",".440","18","62",".290","62","120",".517",".489","22","28",".786","16","102","118","41","11","18","21","37","200","0","","tobias-harris"
"Torrey Craig","34","CHI","SF","3","0","17","1","6",".167","1","6",".167","0","0","",".250","2","2","1.000","0","4","4","1","0","0","0","2","5","0","","torrey-craig"
"Toumani Camara","24","POR","PF","14","14","439","45","103",".437","20","46",".435","25","57",".439",".534","12","17",".706","32","38","70","31","26","4","24","42","122","0","","toumani-camara"
"Trae Young","26","ATL","PG","13","13","473","93","239",".389","43","121",".355","50","118",".424",".479","81","91",".890","12","41","53","144","14","2","62","26","310","0","","trae-young"
"Trayce Jackson-Davis","24","GSW","C","12","12","200","42","62",".677","0","0","","42","62",".677",".677","12","20",".600","16","42","58","27","4","6","9","16","96","0","","trayce-jackson-davis"
"Tre Jones","25","SAS","PG","2","0","35","1","7",".143","1","3",".333","0","4",".000",".214","3","4",".750","1","3","4","7","1","0","1","3","6","0","","tre-jones"
"Tre Mann","23","CHO","PG","11","0","272","61","134",".455","20","51",".392","41","83",".494",".530","17","17","1.000","10","23","33","33","7","3","20","21","159","0","","tre-mann"
"Trendon Watford","24","BRK","PF","1","0","13","1","3",".333","0","1",".000","1","2",".500",".333","2","2","1.000","0","3","3","3","0","0","1","1","4","0","","trendon-watford"
"Trevelin Queen","27","ORL","SG","2","0","5","1","3",".333","1","1","1.000","0","2",".000",".500","0","0","","0","0","0","0","0","0","1","1","3","0","","trevelin-queen"
"Trey Alexander","21","DEN","SG","3","0","7","1","3",".333","0","1",".000","1","2",".500",".333","0","0","","0","1","1","0","0","0","0","0","2","0","","trey-alexander"
"Trey Jemison","25","NOP","C","8","0","81","10","18",".556","0","0","","10","18",".556",".556","6","8",".750","14","12","26","5","2","4","6","16","26","0","","trey-jemison"
"Trey Lyles","29","SAC","PF","14","1","273","27","74",".365","18","54",".333","9","20",".450",".486","9","10",".900","9","42","51","11","7","9","8","21","81","0","","trey-lyles"
"Trey Murphy III","24","NOP","SF","3","3","82","15","41",".366","6","22",".273","9","19",".474",".439","7","7","1.000","3","12","15","5","1","2","7","8","43","0","","trey-murphy"
"Tristan Da Silva","23","ORL","SF","10","8","243","26","69",".377","10","35",".286","16","34",".471",".449","8","10",".800","9","29","38","17","3","3","5","17","70","0","","tristan-da-silva"
"Tristan Thompson","33","CLE","PF","6","0","31","6","8",".750","0","0","","6","8",".750",".750","0","6",".000","0","5","5","1","0","0","3","2","12","0","","tristan-thompson"
"Ty Jerome","27","CLE","SG","15","1","262","60","101",".594","20","37",".541","40","64",".625",".693","21","25",".840","8","23","31","56","18","0","16","17","161","0","","ty-jerome"
"Tyler Herro","25","MIA","SG","12","12","407","101","205",".493","55","116",".474","46","89",".517",".627","40","46",".870","3","56","59","62","8","2","31","26","297","0","","tyler-herro"
"Tyler Kolek","23","NYK","PG","8","0","53","9","16",".563","6","11",".545","3","5",".600",".750","4","4","1.000","2","5","7","3","2","0","5","4","28","0","","tyler-kolek"
"Tyler Smith","20","MIL","PF","8","0","29","8","12",".667","3","7",".429","5","5","1.000",".792","1","2",".500","1","5","6","0","0","2","2","4","20","0","","tyler-smith"
"Tyrese Haliburton","24","IND","PG","13","13","454","72","183",".393","30","102",".294","42","81",".519",".475","36","45",".800","9","40","49","115","14","7","23","25","210","0","","tyrese-haliburton"
"Tyrese Martin","25","BRK","SG","4","0","21","3","7",".429","3","6",".500","0","1",".000",".643","0","0","","0","2","2","0","0","0","1","0","9","0","","tyrese-martin"
"Tyrese Maxey","24","PHI","PG","7","7","278","67","165",".406","22","77",".286","45","88",".511",".473","37","45",".822","0","21","21","27","10","4","14","20","193","0","","tyrese-maxey"
"TyTy Washington Jr.","23","PHO","PG","2","0","23","3","6",".500","2","3",".667","1","3",".333",".667","0","0","","0","1","1","2","1","0","0","0","8","0","","tyty-washington"
"Tyus Jones","28","PHO","PG","14","14","455","57","128",".445","26","70",".371","31","58",".534",".547","8","10",".800","10","31","41","92","14","2","15","14","148","0","","tyus-jones"
"Ulrich Chomche","19","TOR","PF","1","0","5","1","1","1.000","0","0","","1","1","1.000","1.000","0","0","","0","1","1","0","0","0","0","0","2","0","","ulrich-chomche"
"Vasilije Micić","31","CHO","PG","5","0","73","7","27",".259","4","12",".333","3","15",".200",".333","2","4",".500","5","9","14","6","2","0","6","5","20","0","","vasilije-micic"
"Victor Wembanyama","21","SAS","C","13","13","410","108","229",".472","38","112",".339","70","117",".598",".555","41","47",".872","30","106","136","37","17","48","46","26","295","0","","victor-wembanyama"
"Vince Williams Jr.","24","MEM","SG","2","0","38","5","13",".385","1","7",".143","4","6",".667",".423","1","4",".250","2","4","6","9","0","2","4","8","12","0","","vince-williams"
"Vit Krejci","24","ATL","PG","5","0","78","9","19",".474","4","10",".400","5","9",".556",".579","4","7",".571","2","5","7","7","4","2","5","12","26","0","","vit-krejci"
"Vlatko Čančar","27","DEN","PF","3","0","23","2","4",".500","0","1",".000","2","3",".667",".500","0","0","","2","2","4","0","0","1","1","3","4","0","","vlatko-cancar"
"Walker Kessler","23","UTA","C","9","9","238","35","51",".686","0","0","","35","51",".686",".686","13","23",".565","34","62","96","9","4","25","15","20","83","0","","walker-kessler"
"Wendell Carter Jr.","25","ORL","C","6","6","158","17","38",".447","2","16",".125","15","22",".682",".474","14","18",".778","12","41","53","13","8","2","3","14","50","0","","wendell-carter"
"Wendell Moore Jr.","23","DET","SG","6","0","85","10","17",".588","1","4",".250","9","13",".692",".618","2","3",".667","4","12","16","5","4","1","3","5","23","0","","wendell-moore"
"Xavier Tillman Sr.","26","BOS","C","10","1","94","6","23",".261","3","14",".214","3","9",".333",".326","0","0","","6","14","20","6","3","0","3","6","15","0","","xavier-tillman"
"Yongxi Cui","21","BRK","SG","3","0","4","0","1",".000","0","0","","0","1",".000",".000","1","2",".500","0","0","0","0","0","0","0","0","1","0","","yongxi-cui"
"Yuki Kawamura","23","MEM","PG","9","0","26","2","11",".182","1","8",".125","1","3",".333",".227","3","4",".750","0","2","2","6","0","0","3","1","8","0","","yuki-kawamura"
"Yves Missi","20","NOP","C","14","9","329","39","72",".542","0","0","","39","72",".542",".542","19","29",".655","42","52","94","22","9","16","16","20","97","0","","yves-missi"
"Zaccharie Risacher","19","ATL","SF","14","12","370","58","155",".374","15","67",".224","43","88",".489",".423","31","46",".674","21","33","54","19","13","11","17","33","162","0","","zaccharie-risacher"
"Zach Collins","27","SAS","C","14","1","209","31","65",".477","10","25",".400","21","40",".525",".554","21","22",".955","18","31","49","29","8","7","14","34","93","0","","zach-collins"
"Zach Edey","22","MEM","C","14","9","281","64","105",".610","6","10",".600","58","95",".611",".638","22","33",".667","43","54","97","11","12","14","23","44","156","0","","zach-edey"
"Zach LaVine","29","CHI","SF","11","11","376","85","167",".509","30","74",".405","55","93",".591",".599","34","44",".773","3","54","57","44","10","6","34","20","234","0","","zach-lavine"
"Zeke Nnaji","24","DEN","PF","8","0","50","6","13",".462","0","5",".000","6","8",".750",".462","1","4",".250","2","5","7","3","1","2","1","4","13","0","","zeke-nnaji"
"Ziaire Williams","23","BRK","SF","14","2","306","49","112",".438","14","48",".292","35","64",".547",".500","22","27",".815","16","50","66","14","13","6","13","42","134","0","","ziaire-williams"
"Zion Williamson","24","NOP","PF","6","6","186","47","104",".452","2","6",".333","45","98",".459",".462","40","60",".667","16","32","48","32","4","7","22","18","136","0","","zion-williamson"
