"Player","Player Link","Player Key","Signed Using"
"Cason Wallace","https://www.spotrac.com/nba/player/_/id/82207","cason-wallace","Rookie Scale Exception"
"Charles Bassey","https://www.spotrac.com/nba/player/_/id/74160","charles-bassey","Minimum"
"Chet Holmgren","https://www.spotrac.com/nba/player/_/id/78108","chet-holmgren","Rookie Scale Exception"
"Chris Boucher","https://www.spotrac.com/nba/player/_/id/23671","chris-boucher","Bird Rights"
"Chris Duarte","https://www.spotrac.com/nba/player/_/id/74120","chris-duarte","Rookie Scale Exception"
"Chris Livingston","https://www.spotrac.com/nba/player/_/id/84483","chris-livingston","Second Round Exception"
"Chris Paul","https://www.spotrac.com/nba/player/_/id/2609","chris-paul","Cap Space"
"Christian Braun","https://www.spotrac.com/nba/player/_/id/78148","christian-braun","Rookie Scale Exception"
"Christian Wood","https://www.spotrac.com/nba/player/_/id/18218","christian-wood","Minimum"
"C.J. McCollum","https://www.spotrac.com/nba/player/_/id/13323","cj-mccollum","Bird Rights"
"Clint Capela","https://www.spotrac.com/nba/player/_/id/15377","clint-capela","Bird Rights"
"Coby White","https://www.spotrac.com/nba/player/_/id/31564","coby-white","Bird Rights"
"Cody Martin","https://www.spotrac.com/nba/player/_/id/31595","cody-martin","Bird Rights"
"Cody Williams","https://www.spotrac.com/nba/player/_/id/91752","cody-williams","Rookie Scale Exception"
"Cody Zeller","https://www.spotrac.com/nba/player/_/id/13317","cody-zeller","Sign-and-Trade"
"Colby Jones","https://www.spotrac.com/nba/player/_/id/82320","colby-jones","Second Round Exception"
"Cole Anthony","https://www.spotrac.com/nba/player/_/id/70657","cole-anthony","Bird Rights"
"Collin Sexton","https://www.spotrac.com/nba/player/_/id/26974","collin-sexton","Bird Rights"
"Corey Kispert","https://www.spotrac.com/nba/player/_/id/74122","corey-kispert","Bird Rights"
"Cory Joseph","https://www.spotrac.com/nba/player/_/id/8080","cory-joseph","Minimum"
"Craig Porter Jr.","https://www.spotrac.com/nba/player/_/id/84768","craig-porter","Non-Taxpayer Mid-Level Exception"
"Dalano Banton","https://www.spotrac.com/nba/player/_/id/74153","dalano-banton","Minimum"
"Dalen Terry","https://www.spotrac.com/nba/player/_/id/78128","dalen-terry","Rookie Scale Exception"
"Dalton Knecht","https://www.spotrac.com/nba/player/_/id/91749","dalton-knecht","Rookie Scale Exception"
"Damian Lillard","https://www.spotrac.com/nba/player/_/id/10814","damian-lillard","Bird Rights"
"Damion Lee","https://www.spotrac.com/nba/player/_/id/21063","damion-lee","Minimum"
"D'Angelo Russell","https://www.spotrac.com/nba/player/_/id/17830","dangelo-russell","Bird Rights"
"Daniel Gafford","https://www.spotrac.com/nba/player/_/id/31597","daniel-gafford","Bird Rights"
"Daniel Theis","https://www.spotrac.com/nba/player/_/id/23828","daniel-theis","Minimum"
"Dante Exum","https://www.spotrac.com/nba/player/_/id/15357","dante-exum","Non-Taxpayer Mid-Level Exception"
"DaQuan Jeffries","https://www.spotrac.com/nba/player/_/id/32680","daquan-jeffries","Early Bird Rights"
"Dario Saric","https://www.spotrac.com/nba/player/_/id/15364","dario-saric","Taxpayer Mid-Level Exception"
"Dariq Whitehead","https://www.spotrac.com/nba/player/_/id/82273","dariq-whitehead","Rookie Scale Exception"
"Darius Garland","https://www.spotrac.com/nba/player/_/id/31562","darius-garland","Bird Rights"
"DaRon Holmes II","https://www.spotrac.com/nba/player/_/id/91791","daron-holmes","Rookie Scale Exception"
"David Roddy","https://www.spotrac.com/nba/player/_/id/78149","david-roddy","Rookie Scale Exception"
"Davion Mitchell","https://www.spotrac.com/nba/player/_/id/74116","davion-mitchell","Rookie Scale Exception"
"Day'Ron Sharpe","https://www.spotrac.com/nba/player/_/id/74136","dayron-sharpe","Rookie Scale Exception"
"De'Aaron Fox","https://www.spotrac.com/nba/player/_/id/23600","deaaron-fox","Bird Rights"
"Dean Wade","https://www.spotrac.com/nba/player/_/id/31963","dean-wade","Bird Rights"
"Deandre Ayton","https://www.spotrac.com/nba/player/_/id/26967","deandre-ayton","Cap Space"
"De'Andre Hunter","https://www.spotrac.com/nba/player/_/id/31561","deandre-hunter","Bird Rights"
"DeAndre Jordan","https://www.spotrac.com/nba/player/_/id/6117","deandre-jordan","Minimum"
"De'Anthony Melton","https://www.spotrac.com/nba/player/_/id/27012","deanthony-melton","Non-Taxpayer Mid-Level Exception"
"Dejounte Murray","https://www.spotrac.com/nba/player/_/id/20234","dejounte-murray","Bird Rights"
"Delon Wright","https://www.spotrac.com/nba/player/_/id/17848","delon-wright","Minimum"
"DeMar DeRozan","https://www.spotrac.com/nba/player/_/id/6327","demar-derozan","Bird Rights"
"Deni Avdija","https://www.spotrac.com/nba/player/_/id/70651","deni-avdija","Bird Rights"
"Dennis Schröder","https://www.spotrac.com/nba/player/_/id/13330","dennis-schroder","Non-Taxpayer Mid-Level Exception"
"Dereck Lively II","https://www.spotrac.com/nba/player/_/id/82272","dereck-lively","Rookie Scale Exception"
"Derrick Jones Jr.","https://www.spotrac.com/nba/player/_/id/21067","derrick-jones","Non-Taxpayer Mid-Level Exception"
"Derrick White","https://www.spotrac.com/nba/player/_/id/23624","derrick-white","Bird Rights"
"Desmond Bane","https://www.spotrac.com/nba/player/_/id/70672","desmond-bane","Bird Rights"
"Devin Booker","https://www.spotrac.com/nba/player/_/id/17841","devin-booker","Bird Rights"
"Devin Carter","https://www.spotrac.com/nba/player/_/id/91758","devin-carter","Rookie Scale Exception"
"Devin Vassell","https://www.spotrac.com/nba/player/_/id/70653","devin-vassell","Bird Rights"
"Dillon Brooks","https://www.spotrac.com/nba/player/_/id/23646","dillon-brooks","Bird Rights"
"Dillon Jones","https://www.spotrac.com/nba/player/_/id/91778","dillon-jones","Rookie Scale Exception"
"Domantas Sabonis","https://www.spotrac.com/nba/player/_/id/20216","domantas-sabonis","Bird Rights"
"Donovan Clingan","https://www.spotrac.com/nba/player/_/id/91735","donovan-clingan","Rookie Scale Exception"
"Donovan Mitchell","https://www.spotrac.com/nba/player/_/id/23608","donovan-mitchell","Bird Rights"
"Donte DiVincenzo","https://www.spotrac.com/nba/player/_/id/26983","donte-divincenzo","Non-Taxpayer Mid-Level Exception"
"Dorian Finney-Smith","https://www.spotrac.com/nba/player/_/id/20757","dorian-finney-smith","Bird Rights"
"Doug McDermott","https://www.spotrac.com/nba/player/_/id/15363","doug-mcdermott","Minimum"
"Draymond Green","https://www.spotrac.com/nba/player/_/id/10860","draymond-green","Bird Rights"
"Drew Eubanks","https://www.spotrac.com/nba/player/_/id/28052","drew-eubanks","Cap Space"
"Duncan Robinson","https://www.spotrac.com/nba/player/_/id/27658","duncan-robinson","Bird Rights"
"Duop Reath","https://www.spotrac.com/nba/player/_/id/86051","duop-reath","Non-Taxpayer Mid-Level Exception"
"Dwight Powell","https://www.spotrac.com/nba/player/_/id/15397","dwight-powell","Bird Rights"
"Dyson Daniels","https://www.spotrac.com/nba/player/_/id/78114","dyson-daniels","Rookie Scale Exception"
"Eric Gordon","https://www.spotrac.com/nba/player/_/id/6116","eric-gordon","Minimum"
"Evan Mobley","https://www.spotrac.com/nba/player/_/id/74110","evan-mobley","Bird Rights"
"Franz Wagner","https://www.spotrac.com/nba/player/_/id/74115","franz-wagner","Bird Rights"
"Fred VanVleet","https://www.spotrac.com/nba/player/_/id/20778","fred-vanvleet","Cap Space"
"Gabe Vincent","https://www.spotrac.com/nba/player/_/id/28087","gabe-vincent","Non-Taxpayer Mid-Level Exception"
"Garrett Temple","https://www.spotrac.com/nba/player/_/id/6492","garrett-temple","Minimum"
"Garrison Mathews","https://www.spotrac.com/nba/player/_/id/32044","garrison-mathews","Non-Taxpayer Mid-Level Exception"
"Gary Harris","https://www.spotrac.com/nba/player/_/id/15371","gary-harris","Bird Rights"
"Gary Payton II","https://www.spotrac.com/nba/player/_/id/20272","gary-payton","Non-Taxpayer Mid-Level Exception"
"Gary Trent Jr.","https://www.spotrac.com/nba/player/_/id/27003","gary-trent","Minimum"
"Georges Niang","https://www.spotrac.com/nba/player/_/id/20256","georges-niang","Non-Taxpayer Mid-Level Exception"
