Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Victor Wembanyama,21,SAS,C,13,13,410,108,229,.472,38,112,.339,70,117,.598,.555,41,47,.872,30,106,136,37,17,48,46,26,295,0,,victor-wembanyama,461,35.5,1.12,31.5,39.9
Vince Williams Jr.,24,MEM,SG,3,0,45,7,19,.368,1,8,.125,6,11,.545,.395,1,4,.250,4,7,11,9,0,2,7,9,16,0,,vince-williams,22,7.3,0.49,15.0,3.6
Vit Krejci,24,ATL,PG,5,0,78,9,19,.474,4,10,.400,5,9,.556,.579,4,7,.571,2,5,7,7,4,2,5,12,26,0,,vit-krejci,29,5.8,0.37,15.6,2.2
Vlatko Čančar,27,DEN,PF,4,0,34,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,3,5,8,0,0,1,2,4,9,0,,vlatko-cancar,12,3.0,0.35,8.5,1.1
Walker Kessler,23,UTA,C,9,9,238,35,51,.686,0,0,,35,51,.686,.686,13,23,.565,34,62,96,9,4,25,15,20,83,0,,walker-kessler,182,20.2,0.76,26.4,15.5
Wendell Carter Jr.,25,ORL,C,6,6,158,17,38,.447,2,16,.125,15,22,.682,.474,14,18,.778,12,41,53,13,8,2,3,14,50,0,,wendell-carter,109,18.2,0.69,26.3,12.5
Wendell Moore Jr.,23,DET,SG,6,0,85,10,17,.588,1,4,.250,9,13,.692,.618,2,3,.667,4,12,16,5,4,1,3,5,23,0,,wendell-moore,41,6.8,0.48,14.2,3.3
Xavier Tillman Sr.,26,BOS,C,10,1,94,6,23,.261,3,14,.214,3,9,.333,.326,0,0,,6,14,20,6,3,0,3,6,15,0,,xavier-tillman,35,3.5,0.37,9.4,1.3
Yongxi Cui,21,BRK,SG,3,0,4,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,0,0,0,0,0,0,0,1,0,,yongxi-cui,1,0.3,0.25,1.3,0.1
Yuki Kawamura,23,MEM,PG,9,0,26,2,11,.182,1,8,.125,1,3,.333,.227,3,4,.750,0,2,2,6,0,0,3,1,8,0,,yuki-kawamura,12,1.3,0.46,2.9,0.6
Yves Missi,20,NOP,C,15,10,352,40,75,.533,0,0,,40,75,.533,.533,20,31,.645,45,58,103,26,10,17,18,24,100,0,,yves-missi,214,14.3,0.61,23.5,8.7
Zaccharie Risacher,19,ATL,SF,15,13,396,64,166,.386,18,72,.250,46,94,.489,.440,34,50,.680,22,35,57,21,15,12,20,36,180,0,,zaccharie-risacher,229,15.3,0.58,26.4,8.8
Zach Collins,27,SAS,C,15,2,235,36,72,.500,11,27,.407,25,45,.556,.576,22,23,.957,18,38,56,32,9,8,15,35,105,0,,zach-collins,160,10.7,0.68,15.7,7.3
Zach Edey,22,MEM,C,14,9,281,64,105,.610,6,10,.600,58,95,.611,.638,22,33,.667,43,54,97,11,12,14,23,44,156,0,,zach-edey,223,15.9,0.79,20.1,12.6
Zach LaVine,29,CHI,SF,12,12,410,94,186,.505,37,88,.420,57,98,.582,.605,34,44,.773,3,60,63,49,11,6,35,20,259,0,,zach-lavine,333,27.8,0.81,34.2,22.5
Zeke Nnaji,24,DEN,PF,9,0,55,7,15,.467,0,6,.000,7,9,.778,.467,1,4,.250,2,5,7,3,1,2,1,4,15,0,,zeke-nnaji,23,2.6,0.42,6.1,1.1
Ziaire Williams,23,BRK,SF,15,2,323,51,117,.436,14,50,.280,37,67,.552,.496,22,27,.815,16,52,68,16,14,7,13,44,138,0,,ziaire-williams,186,12.4,0.58,21.5,7.1
Zion Williamson,24,NOP,PF,6,6,186,47,104,.452,2,6,.333,45,98,.459,.462,40,60,.667,16,32,48,32,4,7,22,18,136,0,,zion-williamson,187,31.2,1.01,31.0,31.3
