Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Gordon,26,DEN,PF,75,75,2376,434,834,.520,87,260,.335,347,574,.605,.573,171,230,.743,125,314,439,188,44,44,133,148,1126,0,,https://www.basketball-reference.com/players/g/gordoaa01.html,https://www.basketball-reference.com/teams/DEN/2022.html,aaron-gordon,1560,20.8,0.66,31.7,13.7
Aaron Henry,22,PHI,SF,6,0,17,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,0,1,1,0,0,2,2,2,2,0,,https://www.basketball-reference.com/players/h/henryaa01.html,https://www.basketball-reference.com/teams/PHI/2022.html,aaron-henry,1,0.2,0.06,2.8,0.0
Aaron Holiday,25,2TM,PG,63,15,1021,151,338,.447,39,103,.379,112,235,.477,.504,59,68,.868,24,98,122,153,42,9,67,92,400,0,,https://www.basketball-reference.com/players/h/holidaa01.html,0,aaron-holiday,567,9.0,0.56,16.2,5.0
Aaron Nesmith,22,BOS,SF,52,3,574,72,182,.396,31,115,.270,41,67,.612,.481,21,26,.808,15,74,89,22,20,5,31,70,196,0,,https://www.basketball-reference.com/players/n/nesmiaa01.html,https://www.basketball-reference.com/teams/BOS/2022.html,aaron-nesmith,231,4.4,0.4,11.0,1.8
Aaron Wiggins,23,OKC,SG,50,35,1209,156,337,.463,42,138,.304,114,199,.573,.525,62,85,.729,51,127,178,68,30,10,54,93,416,0,,https://www.basketball-reference.com/players/w/wiggiaa01.html,https://www.basketball-reference.com/teams/OKC/2022.html,aaron-wiggins,555,11.1,0.46,24.2,5.1
Abdel Nader,28,PHO,SF,14,0,145,12,35,.343,4,14,.286,8,21,.381,.400,6,10,.600,4,23,27,7,8,4,11,20,34,0,,https://www.basketball-reference.com/players/n/naderab01.html,https://www.basketball-reference.com/teams/PHO/2022.html,abdel-nader,49,3.5,0.34,10.4,1.2
Ade Murkey,24,SAC,SG,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,https://www.basketball-reference.com/players/m/murkead01.html,https://www.basketball-reference.com/teams/SAC/2022.html,ade-murkey,0,0.0,0.0,1.0,0.0
Admiral Schofield,24,ORL,SF,38,1,469,54,129,.419,26,79,.329,28,50,.560,.519,12,15,.800,17,72,89,25,4,5,21,58,146,0,,https://www.basketball-reference.com/players/s/schofad01.html,https://www.basketball-reference.com/teams/ORL/2022.html,admiral-schofield,190,5.0,0.41,12.3,2.0
Ahmad Caver,25,IND,SG,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,0,,https://www.basketball-reference.com/players/c/caverah01.html,https://www.basketball-reference.com/teams/IND/2022.html,ahmad-caver,2,2.0,2.0,1.0,4.0
Al Horford,35,BOS,C,69,69,2005,266,569,.467,89,265,.336,177,304,.582,.546,80,95,.842,108,422,530,232,49,92,65,130,701,0,DPOY-9,https://www.basketball-reference.com/players/h/horfoal01.html,https://www.basketball-reference.com/teams/BOS/2022.html,al-horford,1409,20.4,0.7,29.1,14.4
