Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Gordon,25,2TM,PF,50,50,1384,231,499,.463,59,176,.335,172,323,.533,.522,97,149,.651,77,207,284,161,33,34,97,89,618,1,,https://www.basketball-reference.com/players/g/gordoaa01.html,0,aaron-gordon,944,18.9,0.68,27.7,12.9
Aaron Holiday,24,IND,PG,66,8,1176,170,436,.390,67,182,.368,103,254,.406,.467,68,83,.819,15,74,89,123,46,13,66,94,475,0,,https://www.basketball-reference.com/players/h/holidaa01.html,https://www.basketball-reference.com/teams/IND/2021.html,aaron-holiday,586,8.9,0.5,17.8,4.4
Aaron Nesmith,21,BOS,SF,46,1,669,78,178,.438,40,108,.370,38,70,.543,.551,22,28,.786,28,99,127,23,15,9,23,87,218,0,,https://www.basketball-reference.com/players/n/nesmiaa01.html,https://www.basketball-reference.com/teams/BOS/2021.html,aaron-nesmith,282,6.1,0.42,14.5,2.6
Abdel Nader,27,PHO,SF,24,0,355,57,116,.491,18,43,.419,39,73,.534,.569,28,37,.757,7,55,62,19,10,9,19,34,160,0,,https://www.basketball-reference.com/players/n/naderab01.html,https://www.basketball-reference.com/teams/PHO/2021.html,abdel-nader,207,8.6,0.58,14.8,5.0
Adam Mokoka,22,CHI,SG,14,0,56,7,19,.368,1,10,.100,6,9,.667,.395,0,1,.000,1,4,5,5,2,1,5,5,15,0,,https://www.basketball-reference.com/players/m/mokokad01.html,https://www.basketball-reference.com/teams/CHI/2021.html,adam-mokoka,18,1.3,0.32,4.0,0.4
Al-Farouq Aminu,30,2TM,PF,23,14,434,38,99,.384,8,37,.216,30,62,.484,.424,18,22,.818,22,88,110,31,19,9,28,29,102,0,,https://www.basketball-reference.com/players/a/aminual01.html,0,al-farouq-aminu,214,9.3,0.49,18.9,4.6
Al Horford,34,OKC,C,28,28,782,162,360,.450,56,152,.368,106,208,.510,.528,18,22,.818,29,159,188,94,25,26,29,48,398,0,,https://www.basketball-reference.com/players/h/horfoal01.html,https://www.basketball-reference.com/teams/OKC/2021.html,al-horford,654,23.4,0.84,27.9,19.5
Alec Burks,29,NYK,SG,49,5,1255,210,500,.420,102,246,.415,108,254,.425,.522,101,118,.856,21,206,227,107,31,14,49,102,623,0,,https://www.basketball-reference.com/players/b/burksal01.html,https://www.basketball-reference.com/teams/NYK/2021.html,alec-burks,851,17.4,0.68,25.6,11.8
Aleksej Pokusevski,19,OKC,PF,45,28,1090,139,408,.341,58,207,.280,81,201,.403,.412,31,42,.738,30,182,212,97,20,42,99,58,367,0,,https://www.basketball-reference.com/players/p/pokusal01.html,https://www.basketball-reference.com/teams/OKC/2021.html,aleksej-pokusevski,581,12.9,0.53,24.2,6.9
Alen Smailagić,20,GSW,PF,15,1,84,11,27,.407,4,10,.400,7,17,.412,.481,2,6,.333,6,10,16,4,3,5,5,11,28,0,,https://www.basketball-reference.com/players/s/smailal01.html,https://www.basketball-reference.com/teams/GSW/2021.html,alen-smailagic,40,2.7,0.48,5.6,1.3
Alex Caruso,26,LAL,PG,58,6,1216,133,305,.436,55,137,.401,78,168,.464,.526,49,76,.645,31,139,170,160,64,15,76,108,370,0,,https://www.basketball-reference.com/players/c/carusal01.html,https://www.basketball-reference.com/teams/LAL/2021.html,alex-caruso,595,10.3,0.49,21.0,5.0
Alex Len,27,2TM,C,64,42,979,171,278,.615,8,25,.320,163,253,.644,.629,73,116,.629,78,182,260,49,20,64,55,127,423,0,,https://www.basketball-reference.com/players/l/lenal01.html,0,alex-len,634,9.9,0.65,15.3,6.4
Alfonzo McKinnie,28,LAL,SF,39,0,258,48,93,.516,16,39,.410,32,54,.593,.602,10,18,.556,22,32,54,6,7,0,5,26,122,0,,https://www.basketball-reference.com/players/m/mckinal01.html,https://www.basketball-reference.com/teams/LAL/2021.html,alfonzo-mckinnie,158,4.1,0.61,6.6,2.5
Alize Johnson,24,BRK,PF,18,0,189,40,68,.588,1,6,.167,39,62,.629,.596,13,13,1.000,27,63,90,14,5,5,9,16,94,0,,https://www.basketball-reference.com/players/j/johnsal02.html,https://www.basketball-reference.com/teams/BRK/2021.html,alize-johnson,183,10.2,0.97,10.5,9.8
Amida Brimah,26,IND,C,5,0,29,5,8,.625,0,0,,5,8,.625,.625,3,3,1.000,2,6,8,1,0,5,4,4,13,0,,https://www.basketball-reference.com/players/b/brimaam01.html,https://www.basketball-reference.com/teams/IND/2021.html,amida-brimah,19,3.8,0.66,5.8,2.5
Amir Coffey,23,LAC,SG,44,1,394,45,103,.437,23,56,.411,22,47,.468,.549,27,38,.711,10,34,44,22,10,0,15,30,140,0,,https://www.basketball-reference.com/players/c/coffeam01.html,https://www.basketball-reference.com/teams/LAC/2021.html,amir-coffey,171,3.9,0.43,9.0,1.7
Anderson Varejão,38,CLE,C,5,0,36,4,16,.250,0,1,.000,4,15,.267,.250,5,9,.556,7,13,20,3,0,2,1,3,13,0,,https://www.basketball-reference.com/players/v/varejan01.html,https://www.basketball-reference.com/teams/CLE/2021.html,anderson-varejao,34,6.8,0.94,7.2,6.4
Andre Drummond,27,2TM,C,46,46,1242,282,572,.493,0,8,.000,282,564,.500,.493,123,205,.600,166,385,551,94,63,49,124,149,687,0,,https://www.basketball-reference.com/players/d/drumman01.html,0,andre-drummond,1171,25.5,0.94,27.0,24.0
Andre Iguodala,37,MIA,SF,63,5,1339,95,248,.383,60,182,.330,35,66,.530,.504,25,38,.658,38,183,221,142,57,35,67,90,275,0,,https://www.basketball-reference.com/players/i/iguodan01.html,https://www.basketball-reference.com/teams/MIA/2021.html,andre-iguodala,573,9.1,0.43,21.3,3.9
Andre Roberson,29,BRK,SG,5,0,63,2,14,.143,1,8,.125,1,6,.167,.179,1,2,.500,7,8,15,4,3,1,2,4,6,0,,https://www.basketball-reference.com/players/r/roberan03.html,https://www.basketball-reference.com/teams/BRK/2021.html,andre-roberson,23,4.6,0.37,12.6,1.7
Andrew Wiggins,25,GSW,PF,71,71,2364,505,1058,.477,140,368,.380,365,690,.529,.543,170,238,.714,82,265,347,167,67,70,126,159,1320,0,,https://www.basketball-reference.com/players/w/wiggian01.html,https://www.basketball-reference.com/teams/GSW/2021.html,andrew-wiggins,1686,23.7,0.71,33.3,16.9
Anfernee Simons,21,POR,SG,64,0,1104,168,401,.419,120,282,.426,48,119,.403,.569,46,57,.807,14,126,140,89,18,8,43,96,502,0,,https://www.basketball-reference.com/players/s/simonan01.html,https://www.basketball-reference.com/teams/POR/2021.html,anfernee-simons,618,9.7,0.56,17.2,5.4
Anthony Davis,27,LAL,PF,36,36,1162,301,613,.491,26,100,.260,275,513,.536,.512,158,214,.738,62,224,286,110,45,59,74,60,786,0,AS,https://www.basketball-reference.com/players/d/davisan02.html,https://www.basketball-reference.com/teams/LAL/2021.html,anthony-davis,1152,32.0,0.99,32.3,31.7
