Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Quincy Acy,26,2TM,PF,38,1,558,70,170,.412,37,90,.411,33,80,.413,.521,45,60,.750,20,95,115,18,14,15,21,67,222,0,,https://www.basketball-reference.com/players/a/acyqu01.html,,quincy-acy,296,7.8,0.53,14.7,4.1
Quinn Cook,23,2TM,PG,14,0,188,33,66,.500,11,26,.423,22,40,.550,.583,2,5,.400,1,6,7,26,4,0,13,13,79,0,,https://www.basketball-reference.com/players/c/cookqu01.html,,quinn-cook,90,6.4,0.48,13.4,3.1
Rajon Rondo,30,CHI,PG,69,42,1843,229,561,.408,50,133,.376,179,428,.418,.453,30,50,.600,73,282,355,461,99,11,169,144,538,1,,https://www.basketball-reference.com/players/r/rondora01.html,https://www.basketball-reference.com/teams/CHI/2017.html,rajon-rondo,1151,16.7,0.62,26.7,10.4
Rakeem Christmas,25,IND,PF,29,0,219,19,43,.442,0,0,,19,43,.442,.442,21,29,.724,26,30,56,4,3,6,8,37,59,0,,https://www.basketball-reference.com/players/c/chrisra01.html,https://www.basketball-reference.com/teams/IND/2017.html,rakeem-christmas,83,2.9,0.38,7.6,1.1
Ramon Sessions,30,CHO,PG,50,1,811,100,263,.380,21,62,.339,79,201,.393,.420,91,118,.771,11,62,73,129,27,3,46,43,312,0,,https://www.basketball-reference.com/players/s/sessira01.html,https://www.basketball-reference.com/teams/CHO/2017.html,ramon-sessions,455,9.1,0.56,16.2,5.1
Randy Foye,33,BRK,SG,69,40,1284,118,325,.363,67,203,.330,51,122,.418,.466,54,63,.857,9,146,155,135,35,9,80,99,357,0,,https://www.basketball-reference.com/players/f/foyera01.html,https://www.basketball-reference.com/teams/BRK/2017.html,randy-foye,512,7.4,0.4,18.6,3.0
Rashad Vaughn,20,MIL,SG,41,2,458,57,156,.365,26,81,.321,31,75,.413,.449,2,5,.400,4,45,49,23,19,10,14,32,142,0,,https://www.basketball-reference.com/players/v/vaughra01.html,https://www.basketball-reference.com/teams/MIL/2017.html,rashad-vaughn,197,4.8,0.43,11.2,2.1
Raul Neto,24,UTA,PG,40,0,346,41,91,.451,10,31,.323,31,60,.517,.505,8,9,.889,4,26,30,34,21,5,15,48,100,0,,https://www.basketball-reference.com/players/n/netora01.html,https://www.basketball-reference.com/teams/UTA/2017.html,raul-neto,127,3.2,0.37,8.6,1.2
Raymond Felton,32,LAC,PG,80,11,1700,221,514,.430,46,144,.319,175,370,.473,.475,50,64,.781,33,185,218,191,66,22,83,125,538,0,,https://www.basketball-reference.com/players/f/feltora01.html,https://www.basketball-reference.com/teams/LAC/2017.html,raymond-felton,827,10.3,0.49,21.2,5.0
Reggie Bullock,25,DET,SF,31,5,467,54,128,.422,28,73,.384,26,55,.473,.531,5,7,.714,13,51,64,29,18,3,10,22,141,0,,https://www.basketball-reference.com/players/b/bullore01.html,https://www.basketball-reference.com/teams/DET/2017.html,reggie-bullock,223,7.2,0.48,15.1,3.4
Reggie Jackson,26,DET,PG,52,50,1424,284,677,.419,66,184,.359,218,493,.442,.468,118,136,.868,21,93,114,270,35,5,114,129,752,0,,https://www.basketball-reference.com/players/j/jacksre01.html,https://www.basketball-reference.com/teams/DET/2017.html,reggie-jackson,933,17.9,0.66,27.4,11.8
Reggie Williams,30,NOP,SF,6,0,79,8,23,.348,5,11,.455,3,12,.250,.457,6,7,.857,2,4,6,4,3,0,0,2,27,0,,https://www.basketball-reference.com/players/w/willire02.html,https://www.basketball-reference.com/teams/NOP/2017.html,reggie-williams,38,6.3,0.48,13.2,3.0
Richard Jefferson,36,CLE,SF,79,13,1614,153,343,.446,62,186,.333,91,157,.580,.536,80,108,.741,28,175,203,78,26,10,52,153,448,0,,https://www.basketball-reference.com/players/j/jefferi01.html,https://www.basketball-reference.com/teams/CLE/2017.html,richard-jefferson,560,7.1,0.35,20.4,2.5
Richaun Holmes,23,PHI,C,57,17,1193,230,412,.558,27,77,.351,203,335,.606,.591,72,103,.699,94,217,311,58,42,55,55,136,559,0,,https://www.basketball-reference.com/players/h/holmeri01.html,https://www.basketball-reference.com/teams/PHI/2017.html,richaun-holmes,834,14.6,0.7,20.9,10.2
